state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,29,60892,48,319,663,65908,14.94,52,348,66131,60653,917,48149,78651,31,10,680
Andaman & Nicobar,South Andaman,152,129549,157,760,848,159648,5.26,48,912,155608,133542,858,101738,187459,170,13,835
Andaman & Nicobar,Nicobar,24,18885,14,407,228,23126,4.41,19,431,22662,19346,854,16717,25294,3,4,239
Andhra Pradesh,Krishna,23271,2258660,10611,33615,17456,1775826,1.6,910,56890,1887756,2146013,1137,1384662,2649824,14858,231,13208
Andhra Pradesh,Guntur,41927,2355008,15429,70177,27362,1841947,0.6,674,112106,1941685,2254604,1161,1424942,2772013,22361,167,20429
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",4609,1626239,5204,8798,9645,1054421,3.38,453,13407,1218129,1462076,1200,1070608,1610052,5753,124,9095
Andhra Pradesh,Kurnool,3475,1735844,7356,14839,24418,1545470,1.88,344,18336,1473786,1807032,1226,1081646,2199668,19663,96,12111
Andhra Pradesh,Visakhapatnam,9160,2063694,6779,14078,11438,2115170,2.43,566,23264,2039650,2138626,1049,1368713,2810151,5510,158,12707
Andhra Pradesh,Anantapur,27094,2054919,7648,59563,32821,1540381,0.62,544,87576,1645059,1948230,1184,1268168,2327132,25981,124,14487
Andhra Pradesh,Chittoor,706,2192020,3416,1365,7787,1671154,4.78,99,2071,1791570,2070991,1156,1405824,2457350,4953,160,6249
Andhra Pradesh,East Godavari,38391,2604239,20417,37719,27036,2104005,1.59,1207,76123,2210648,2496831,1129,1365604,3342640,17769,312,29684
Andhra Pradesh,Prakasam,22880,1825629,10078,46947,19937,1280122,0.84,586,69924,1435194,1670109,1164,1207938,1897813,13683,165,16332
Andhra Pradesh,Sri Potti Sriramulu Nellore,1427,1656783,3626,3437,8005,1250822,3.37,164,4866,1360852,1546209,1136,1102647,1804958,4806,95,6824
Andhra Pradesh,Srikakulam,14219,1456102,3609,17206,4717,881771,7.43,2335,31435,1036401,1301226,1256,778926,1558947,3432,626,4893
