state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,0,61380,25,0,251,77087,0.0,0,0,71980,66468,923,59522,78945,13,0,262,63392
Andaman & Nicobar,South Andaman,0,132548,148,0,1101,177436,0.0,0,0,166484,143447,862,120322,189662,105,0,1144,129767
Andaman & Nicobar,Nicobar,0,19826,32,0,93,25881,0.0,0,0,24718,20986,849,20313,25394,9,0,115,21918
Andhra Pradesh,Krishna,10,2611580,20184,27,23551,2274951,62.16,23,37,2296773,2588849,1127,1914927,2971604,10765,18,32969,1689053
Andhra Pradesh,Guntur,311,2706326,16421,702,46750,2625565,26.36,267,1013,2485798,2845284,1145,1891773,3440118,40768,138,22402,1668636
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",624,1775450,7069,1265,15331,1377293,8.01,152,1898,1450957,1701231,1172,1328711,1824032,9406,123,12994,1024819
Andhra Pradesh,Kurnool,1007,1858237,5983,3907,29980,2104941,1.75,86,4914,1804494,2158083,1196,1290419,2672759,25517,53,10445,1165853
Andhra Pradesh,Visakhapatnam,889,2324379,13979,1933,24970,2540013,8.79,248,2822,2361060,2502622,1060,1864960,2999432,9329,144,29620,1711604
Andhra Pradesh,Anantapur,3031,2280628,11440,6666,21946,2020930,3.92,381,9709,1986132,2313068,1165,1611476,2690082,13258,120,20129,1262138
Andhra Pradesh,Chittoor,410,2458675,9825,710,16370,2182185,8.95,101,1129,2163529,2476584,1145,1807873,2832987,9118,152,17077,1443546
Andhra Pradesh,East Godavari,160,3033860,21626,118,15547,2488938,7.91,22,278,2580102,2941810,1140,1990578,3532220,5282,8,31890,1876410
Andhra Pradesh,Prakasam,2439,2048735,11175,5477,27046,1793473,2.54,203,7997,1798094,2043542,1137,1521177,2321031,19620,157,18601,1163877
Andhra Pradesh,Sri Potti Sriramulu Nellore,1592,1865288,9493,2443,20702,1681354,3.29,133,4037,1675320,1870664,1117,1403240,2143402,13853,95,16341,1115736
Andhra Pradesh,Srikakulam,0,1600083,13414,0,7794,1004899,0.0,0,0,1156691,1448012,1252,974734,1630248,2698,0,18510,1009355
Andhra Pradesh,Vizianagaram,461,1320848,8665,790,15396,1068740,5.52,69,1251,1091360,1297853,1189,996097,1393491,6407,21,17653,861355
Andhra Pradesh,West Godavari,873,2350451,10995,1429,18659,1953673,5.99,138,2302,1979040,2324482,1175,1778807,2525317,8717,263,20937,1539079
Arunachal Pradesh,Itanagar Capital Complex,0,42971,49,0,491,143625,0.0,0,0,106522,80055,752,77382,109214,120,0,420,93461
Arunachal Pradesh,Lower Siang,0,9784,8,0,42,16771,0.0,0,0,14239,12315,865,9990,16565,5,0,45,15028
Arunachal Pradesh,Pakke Kessang,1,6264,7,13,34,6738,42.86,6,14,6833,6162,902,4998,8004,4,1,37,7428
Arunachal Pradesh,Changlang,0,48004,147,0,438,96214,0.0,0,0,79959,64241,803,55361,88857,43,0,543,74651
Arunachal Pradesh,Kurung Kumey,0,6137,12,0,28,8585,0.0,0,0,7230,7386,1022,5601,9121,4,0,36,8516
Arunachal Pradesh,Anjaw,0,6808,7,0,64,12844,0.0,0,0,10884,8766,805,7957,11695,6,0,64,10836
Arunachal Pradesh,East Kameng,0,17835,15,0,54,20742,0.0,0,0,20270,18301,903,15646,22931,11,0,58,19863
Arunachal Pradesh,Kamle,0,4186,7,0,25,6634,0.0,0,0,6156,4664,758,3874,6946,5,0,26,5968
Arunachal Pradesh,Dibang Valley,0,1959,0,0,2,4800,0.0,0,0,4310,2449,568,2603,4156,0,0,1,3865
Arunachal Pradesh,Tirap,0,17513,16,0,80,35252,0.0,0,0,29486,23267,789,21200,31565,5,0,90,28671
Arunachal Pradesh,Kra Daadi,0,3957,0,0,4,5590,0.0,0,0,5093,4454,875,3272,6275,1,0,3,5813
Arunachal Pradesh,West Kameng,10,29459,34,94,269,66572,15.38,16,104,53097,42900,808,40321,55710,29,2,273,48777
Arunachal Pradesh,Lohit,0,15829,37,0,208,37294,0.0,0,0,28961,24149,834,22003,31120,32,0,213,27529
Arunachal Pradesh,Tawang,0,16220,13,0,109,36620,0.0,0,0,28800,24022,834,23287,29553,13,0,108,27291
Arunachal Pradesh,Lower Dibang Valley,6,18411,27,14,130,36317,50.0,10,20,29920,24802,829,22089,32639,24,6,133,29152
Arunachal Pradesh,Lower Subansiri,7,15851,14,31,108,29892,5.26,2,38,24957,20784,833,18827,26916,12,1,109,24533
Arunachal Pradesh,Lepa Rada,11,8392,5,49,45,15112,0.0,0,60,13340,10160,762,10176,13328,6,2,43,12884
Arunachal Pradesh,Upper Siang,0,13598,10,0,54,18667,0.0,0,0,17294,14969,866,13671,18594,5,0,58,17143
Arunachal Pradesh,Shi Yomi,0,4564,2,0,21,8009,0.0,0,0,6528,6045,926,5663,6910,0,1,21,6626
Arunachal Pradesh,Namsai,0,37989,54,0,323,72654,0.0,0,0,59264,51375,867,47104,63539,30,1,348,57020
Arunachal Pradesh,Siang,0,9845,8,0,26,13631,0.0,0,0,12346,11122,901,9068,14408,6,0,28,13768
Arunachal Pradesh,West Siang,0,22304,10,0,90,39336,0.0,0,0,32844,28789,877,27867,33773,9,0,91,32110
Arunachal Pradesh,Papum Pare,0,16632,21,0,133,38198,0.0,0,0,32410,22410,691,22876,31954,31,0,122,27400
Arunachal Pradesh,Longding,0,10163,16,0,42,16922,0.0,0,0,16620,10465,630,7826,19259,7,1,50,17337
Arunachal Pradesh,Upper Subansiri,0,20992,46,0,128,20240,0.0,0,0,21673,19553,902,16390,24842,13,0,160,22519
