state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,0,28719,2,0,0,291,44,4021,3.09,9,291,17351,15387,887,3289
Andaman & Nicobar,South Andaman,0,44,55351,49,0,0,503,338,17295,4.2,23,547,39495,33147,839,10109
Andaman & Nicobar,Nicobar,0,9,7660,1,0,0,32,7,1049,21.95,9,41,4593,4116,896,1906
Andhra Pradesh,Krishna,1,1653,683309,12295,10,10,3352,6138,162597,5.69,285,5005,432320,413693,957,252871
Andhra Pradesh,Guntur,166,4622,640182,10454,0,0,4569,4247,158148,4.34,399,9191,413115,385297,933,225527
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,15049,504971,6176,0,0,874,405,58353,2.56,407,15923,278629,284670,1022,178696
Andhra Pradesh,Kurnool,0,5016,511598,5185,0,0,21077,3291,91190,2.1,547,26093,286516,316287,1104,178635
Andhra Pradesh,Visakhapatnam,0,13358,630692,11140,0,0,19249,10475,246806,1.73,563,32607,461796,415934,901,230065
Andhra Pradesh,Anantapur,0,19812,575022,7017,0,0,8088,1371,82587,1.97,550,27900,330889,326493,987,201315
Andhra Pradesh,Chittoor,0,10914,647248,6759,1,0,13826,2630,125009,2.42,599,24741,376515,395786,1051,233859
Andhra Pradesh,East Godavari,0,20616,730735,16350,0,0,4376,1540,130307,1.7,426,24994,451261,409829,908,254627
Andhra Pradesh,Prakasam,0,3265,536403,8351,0,0,1361,977,80140,1.82,84,4626,312012,304494,976,193906
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,2985,516907,6671,0,0,4291,2446,90853,3.77,274,7276,301258,306507,1017,199235
Andhra Pradesh,Srikakulam,0,14131,465452,7298,0,0,12652,2188,70120,1.48,397,26783,253222,282344,1115,127217
Andhra Pradesh,Vizianagaram,0,6058,364218,3340,0,0,14395,2796,66892,1.5,307,20453,203941,227154,1114,110970
Andhra Pradesh,West Godavari,0,2678,619482,13100,0,0,6861,1911,77888,2.84,271,9539,343302,354141,1032,217200
