state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,39,61037,21,1270,506,69453,2.37,31,1309,68005,62467,919,51739,78751,14,10,512
Andaman & Nicobar,South Andaman,180,130392,120,738,489,163071,8.93,82,918,157845,135569,859,105210,188253,113,18,496
Andaman & Nicobar,Nicobar,17,19122,34,257,131,24040,5.84,16,274,23334,19825,850,17845,25317,3,3,161
Andhra Pradesh,Krishna,7457,2339218,11508,12906,18125,1902700,4.01,817,20363,1987026,2254134,1134,1500065,2741853,13147,219,16486
Andhra Pradesh,Guntur,14040,2442902,12556,23495,20620,1986285,1.51,565,37535,2051644,2376854,1159,1545345,2883842,15976,155,17200
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",10293,1672966,6675,21621,13316,1147632,1.47,470,31940,1286128,1533988,1193,1157771,1662827,7539,125,12451
Andhra Pradesh,Kurnool,5,1764966,4160,21,19451,1681630,53.85,14,26,1553756,1892318,1218,1132213,2314383,16388,3,7223
Andhra Pradesh,Visakhapatnam,5972,2136550,10408,9696,14160,2214289,3.27,512,15668,2120055,2230155,1052,1498861,2851978,5975,147,18592
Andhra Pradesh,Anantapur,5816,2103658,6963,17436,18418,1669310,2.25,524,23316,1731071,2039812,1178,1340766,2432202,15010,116,10371
Andhra Pradesh,Chittoor,17620,2282173,12879,38128,26690,1857981,1.08,601,55779,1925190,2214315,1150,1541045,2599109,20251,156,19317
Andhra Pradesh,East Godavari,19847,2708048,14830,27020,16107,2216752,2.66,1248,46882,2300684,2623321,1140,1532240,3392560,7131,295,23805
Andhra Pradesh,Prakasam,3479,1886294,8666,9842,18632,1410548,3.12,416,13324,1528483,1767881,1157,1294833,2002009,14885,139,12413
Andhra Pradesh,Sri Potti Sriramulu Nellore,2636,1704986,6886,5579,14535,1352569,3.35,275,8215,1432821,1624162,1134,1169188,1888367,11916,98,9505
Andhra Pradesh,Srikakulam,3625,1475804,2815,5254,3764,908117,20.51,1821,8879,1057951,1325716,1253,806431,1577490,2649,635,3929
Andhra Pradesh,Vizianagaram,2876,1187034,5021,3536,6282,852448,4.18,268,6412,924036,1115126,1207,737821,1301661,2786,107,8517
Andhra Pradesh,West Godavari,4809,2136313,9770,8376,14929,1616915,4.59,605,13185,1711652,2041071,1192,1378896,2374332,7133,208,17566
Arunachal Pradesh,Itanagar Capital Complex,48,42285,28,583,406,136397,4.6,29,631,102032,76631,751,70956,107726,93,8,342
Arunachal Pradesh,Lower Siang,14,9669,16,73,100,16107,14.94,13,87,13787,11988,870,9280,16496,17,2,99
