state,district,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf,dcon
Andaman & Nicobar,North and Middle Andaman,12,62414,46,85,299,89120,23.71,23,97,78863,72648,921,72209,79325,10,6,334,76682
Andaman & Nicobar,South Andaman,49,138477,308,179,1045,220909,0.88,2,228,193348,165973,858,166848,192538,96,3,1257,172275
Andaman & Nicobar,Nicobar,0,21924,17,0,38,28754,0.0,0,0,27518,23156,841,25213,25465,2,1,53,22401
Andhra Pradesh,Krishna,11549,2940019,12319,30632,26993,2893916,1.99,842,42238,2775111,3057734,1102,2515096,3318839,26434,235,12877,2216066
Andhra Pradesh,Guntur,5356,2891943,6188,20325,21249,3116193,4.32,1109,25681,2816855,3190366,1133,2309481,3698655,14083,554,13352,2200312
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",8812,1886787,6414,19109,15027,1654744,1.71,479,27931,1650581,1890304,1145,1511787,2029744,15134,125,6307,1353536
Andhra Pradesh,Kurnool,10,2048310,3454,26,16104,2601125,122.22,44,36,2144200,2504509,1168,1763830,2885605,6047,32,13511,1741674
Andhra Pradesh,Visakhapatnam,4616,2461516,5275,8227,14710,2896703,3.53,454,12846,2607946,2749476,1054,2251398,3106821,4421,140,15564,2490925
Andhra Pradesh,Anantapur,11322,2514580,9765,34082,28672,2601699,1.03,466,45434,2394318,2719171,1136,2124323,2991956,19474,120,18963,1865635
Andhra Pradesh,Chittoor,10695,2707548,6988,32951,18555,2688225,1.33,584,43776,2549212,2845709,1116,2394553,3001220,11057,150,14485,2108085
Andhra Pradesh,East Godavari,5245,3283524,6063,12920,16851,2903712,3.42,621,18169,2927959,3258275,1113,2548324,3638912,5709,218,17205,2460401
Andhra Pradesh,Prakasam,720,2230652,2734,1657,7703,2209831,6.44,153,2377,2098609,2341194,1116,1853612,2586871,5214,157,5222,1537802
Andhra Pradesh,Sri Potti Sriramulu Nellore,3502,1970458,2089,8219,6420,1987539,2.12,249,11721,1888840,2068423,1095,1680139,2277858,3168,93,5341,1515283
