state,district,slots,today
Andaman and Nicobar Islands,Nicobar,50,0
Andaman and Nicobar Islands,North and Middle Andaman,421,12
Andaman and Nicobar Islands,South Andaman,96,78
Andhra Pradesh,Anantapur,24,148
Andhra Pradesh,Chittoor,0,1621
Andhra Pradesh,East Godavari,0,10111
Andhra Pradesh,Guntur,0,2717
Andhra Pradesh,Krishna,0,663
Andhra Pradesh,Kurnool,0,346
Andhra Pradesh,Prakasam,32,2834
Andhra Pradesh,Sri Potti Sriramulu Nellore,1,1068
Andhra Pradesh,Srikakulam,0,1221
Andhra Pradesh,Visakhapatnam,0,4591
Andhra Pradesh,Vizianagaram,0,397
Andhra Pradesh,West Godavari,0,0
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,77
Arunachal Pradesh,Anjaw,0,10
Arunachal Pradesh,Changlang,104,246
Arunachal Pradesh,Dibang Valley,20,0
Arunachal Pradesh,East Kameng,0,19
Arunachal Pradesh,East Siang,0,17
Arunachal Pradesh,Itanagar Capital Complex,41,58
Arunachal Pradesh,Kamle,0,10
Arunachal Pradesh,Kra Daadi,0,32
Arunachal Pradesh,Kurung Kumey,0,24
Arunachal Pradesh,Lepa Rada,0,2
Arunachal Pradesh,Lohit,0,22
Arunachal Pradesh,Longding,200,6
Arunachal Pradesh,Lower Dibang Valley,158,15
Arunachal Pradesh,Lower Siang,23,13
Arunachal Pradesh,Lower Subansiri,0,54
Arunachal Pradesh,Namsai,71,29
Arunachal Pradesh,Pakke Kessang,39,8
Arunachal Pradesh,Papum Pare,0,19
Arunachal Pradesh,Shi Yomi,0,10
Arunachal Pradesh,Siang,20,10
Arunachal Pradesh,Tawang,0,13
Arunachal Pradesh,Tirap,0,16
Arunachal Pradesh,Upper Siang,0,13
Arunachal Pradesh,Upper Subansiri,0,36
Arunachal Pradesh,West Kameng,0,15
Arunachal Pradesh,West Siang,0,9
Assam,Baksa,0,22
Assam,Barpeta,0,3268
Assam,Biswanath,0,17
Assam,Bongaigaon,0,234
Assam,Cachar,100,881
Assam,Charaideo,0,0
Assam,Chirang,0,238
Assam,Darrang,0,60
Assam,Dhemaji,0,170
Assam,Dhubri,0,702
Assam,Dibrugarh,0,892
Assam,Dima Hasao,123,145
Assam,Goalpara,325,280
Assam,Golaghat,0,212
Assam,Hailakandi,0,499
Assam,Hojai,5,525
Assam,Jorhat,0,285
Assam,Kamrup Metropolitan,9,2281
Assam,Kamrup Rural,10,891
Assam,Karbi-Anglong,0,121
Assam,Karimganj,0,390
Assam,Kokrajhar,0,18
Assam,Lakhimpur,0,137
Assam,Majuli,0,206
Assam,Morigaon,0,1086
Assam,Nagaon,0,70
Assam,Nalbari,0,551
Assam,Sivasagar,0,0
Assam,Sonitpur,0,2375
Assam,South Salmara Mankachar,156,74
Assam,Tinsukia,0,94
Assam,Udalguri,0,172
Assam,West Karbi Anglong,0,117
Bihar,Araria,0,533
Bihar,Arwal,213,65
Bihar,Aurangabad,151,336
Bihar,Banka,419,146
Bihar,Begusarai,0,74
Bihar,Bhagalpur,17,590
Bihar,Bhojpur,0,90
Bihar,Buxar,0,0
Bihar,Darbhanga,0,1292
Bihar,East Champaran,24,2017
Bihar,Gaya,2391,2027
Bihar,Gopalganj,0,24
Bihar,Jamui,27,104
Bihar,Jehanabad,460,125
Bihar,Kaimur,121,237
Bihar,Katihar,0,292
Bihar,Khagaria,0,193
Bihar,Kishanganj,0,83
Bihar,Lakhisarai,35,103
Bihar,Madhepura,1227,211
Bihar,Madhubani,39,2770
