state,district,slots,today,Total doses til date,avgdaily
Andaman and Nicobar Islands,North and Middle Andaman,492,0,28635,13
Andaman and Nicobar Islands,South Andaman,0,19,54445,97
Andaman and Nicobar Islands,Nicobar,47,0,7624,1
Andhra Pradesh,Krishna,0,29432,428757,3634
Andhra Pradesh,Guntur,0,7726,403359,910
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,857,322473,331
Andhra Pradesh,Kurnool,0,402,339678,677
Andhra Pradesh,Visakhapatnam,0,4859,407254,1309
Andhra Pradesh,Anantapur,0,1383,388947,551
Andhra Pradesh,Chittoor,88,3029,438759,803
Andhra Pradesh,East Godavari,0,6142,393604,1174
Andhra Pradesh,Prakasam,0,18018,342573,3864
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,2722,333431,642
Andhra Pradesh,Srikakulam,0,713,268932,333
Andhra Pradesh,Vizianagaram,0,69,226203,97
Andhra Pradesh,West Godavari,0,7674,342137,1182
Arunachal Pradesh,Itanagar Capital Complex,0,34,16898,49
Arunachal Pradesh,Lower Siang,0,9,3837,15
Arunachal Pradesh,Pakke Kessang,40,14,2857,9
Arunachal Pradesh,Changlang,156,81,15046,89
Arunachal Pradesh,Kurung Kumey,0,5,2329,15
Arunachal Pradesh,Anjaw,0,0,2028,10
Arunachal Pradesh,East Kameng,0,12,5715,23
Arunachal Pradesh,Kamle,0,0,1496,11
Arunachal Pradesh,Dibang Valley,20,2,712,2
Arunachal Pradesh,Tirap,0,36,3634,30
Arunachal Pradesh,Kra Daadi,0,10,1320,22
Arunachal Pradesh,West Kameng,0,18,11976,13
Arunachal Pradesh,Lohit,0,5,5455,18
Arunachal Pradesh,Tawang,0,23,7081,12
Arunachal Pradesh,Lower Dibang Valley,158,10,6551,7
Arunachal Pradesh,Lower Subansiri,0,6,6581,33
Arunachal Pradesh,Lepa Rada,0,1,3752,8
Arunachal Pradesh,Upper Siang,0,14,5555,10
Arunachal Pradesh,Shi Yomi,0,0,1918,10
Arunachal Pradesh,Namsai,30,87,12975,66
Arunachal Pradesh,Siang,10,50,4046,14
Arunachal Pradesh,West Siang,0,22,10065,15
Arunachal Pradesh,Papum Pare,0,23,6836,37
Arunachal Pradesh,Longding,0,4,2075,5
Arunachal Pradesh,Upper Subansiri,0,72,7945,59
Arunachal Pradesh,East Siang,37,24,13485,38
Assam,Dibrugarh,0,1998,121773,955
Assam,Sivasagar,0,1657,64045,343
Assam,Tinsukia,0,1598,75947,526
Assam,Baksa,0,886,44365,263
Assam,Barpeta,17,4825,121083,1048
Assam,Darrang,3,1404,61802,505
Assam,Kamrup Metropolitan,0,2652,223445,1571
Assam,Kamrup Rural,115,2592,153447,1022
Assam,Karbi-Anglong,4,291,34834,126
Assam,Nalbari,0,722,51397,488
Assam,Golaghat,0,2481,72870,424
Assam,Jorhat,7,1402,82398,183
Assam,Morigaon,0,409,60181,789
Assam,Nagaon,0,1340,122355,261
Assam,Bongaigaon,0,817,54356,314
Assam,Chirang,0,385,25484,138
Assam,Dhubri,28,984,72166,575
Assam,Goalpara,614,900,53201,324
Assam,Kokrajhar,11,647,45408,267
Assam,Dhemaji,0,1008,58442,321
Assam,Lakhimpur,0,2392,69332,293
Assam,Sonitpur,80,3718,96434,600
Assam,Udalguri,20,768,42812,229
Assam,Cachar,50,1121,90838,800
Assam,Dima Hasao,18,194,19413,56
Assam,Hailakandi,36,813,44353,435
Assam,Karimganj,0,850,57648,344
Bihar,Madhepura,2005,66,118386,156
Bihar,Saharsa,208,191,123284,209
Bihar,Supaul,0,21,122517,542
Bihar,Purnia,0,250,218159,643
Bihar,Araria,250,19,135249,1128
Bihar,Katihar,0,208,114898,180
Bihar,Kishanganj,0,16,75801,168
Bihar,Aurangabad,301,472,98102,420
Bihar,Arwal,0,80,33624,66
Bihar,Gaya,3155,1819,216586,962
Bihar,Kaimur,0,22,90667,233
Bihar,Rohtas,322,363,160083,263
Bihar,Bhagalpur,139,927,208901,746
Bihar,Banka,19,183,123382,175
Bihar,Lakhisarai,19,100,44437,92
Bihar,Munger,0,114,81613,152
Bihar,Muzaffarpur,0,749,234788,947
Bihar,Sheohar,0,7,54942,5
Bihar,Sitamarhi,0,3,176335,84
Bihar,Vaishali,0,513,214654,1077
Bihar,Nalanda,0,24,221641,235
Bihar,Jehanabad,0,64,61580,205
Bihar,Nawada,6140,16,129036,53
Bihar,Sheikhpura,308,49,40761,55
Bihar,Darbhanga,0,1133,252426,1116
Bihar,Madhubani,38,588,251710,848
Bihar,Samastipur,0,610,246388,663
Bihar,Patna,1890,4485,486584,2398
Bihar,Begusarai,0,11,196344,136
Bihar,Bhojpur,0,359,142553,234
Bihar,Buxar,0,0,105873,0
Bihar,Khagaria,0,90,86565,178
