state,district,slots,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18
Andaman & Nicobar,North and Middle Andaman,441,0,28645,11,171,184,3086
Andaman & Nicobar,South Andaman,100,39,54540,44,360,369,11643
Andaman & Nicobar,Nicobar,0,0,7634,1,20,36,997
Andhra Pradesh,Krishna,0,18709,547198,20237,2332,1484,109231
Andhra Pradesh,Guntur,0,49704,470796,9978,3223,1619,117031
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,36666,388283,9459,760,186,53095
Andhra Pradesh,Kurnool,0,18941,371922,4701,230,130,60495
Andhra Pradesh,Visakhapatnam,0,25639,462257,8756,8077,3056,135869
Andhra Pradesh,Anantapur,183,44574,461415,10818,1704,558,66353
Andhra Pradesh,Chittoor,10,46282,494834,8601,2107,890,99153
Andhra Pradesh,East Godavari,0,55937,506525,17165,626,479,116958
Andhra Pradesh,Prakasam,49,29296,413981,13041,1745,632,68589
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,41303,400629,10020,1888,645,70084
Andhra Pradesh,Srikakulam,0,28835,300187,4565,254,121,51881
Andhra Pradesh,Vizianagaram,0,39868,270024,6279,762,143,42163
Andhra Pradesh,West Godavari,0,62756,440637,15188,536,193,61744
Arunachal Pradesh,Itanagar Capital Complex,0,8,16939,30,140,160,16733
Arunachal Pradesh,Lower Siang,0,18,3899,13,2,3,1143
Arunachal Pradesh,Pakke Kessang,20,10,2900,9,0,3,1142
Arunachal Pradesh,Changlang,134,40,15182,76,32,206,7641
Arunachal Pradesh,Kurung Kumey,0,0,2386,20,0,40,1927
Arunachal Pradesh,Anjaw,0,0,2040,3,8,2,1407
Arunachal Pradesh,East Kameng,0,3,5731,9,11,87,2534
Arunachal Pradesh,Kamle,0,8,1516,4,2,19,733
Arunachal Pradesh,Dibang Valley,0,0,735,4,0,2,1027
Arunachal Pradesh,Tirap,0,88,3824,48,1,26,3106
Arunachal Pradesh,Kra Daadi,0,0,1445,36,11,36,1278
Arunachal Pradesh,West Kameng,0,6,11995,9,103,142,5858
Arunachal Pradesh,Lohit,0,15,5512,12,14,14,2751
Arunachal Pradesh,Tawang,0,6,7118,10,67,62,4021
Arunachal Pradesh,Lower Dibang Valley,140,5,6560,5,8,9,3178
Arunachal Pradesh,Lower Subansiri,0,0,6666,39,0,46,3257
