state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage
Andaman & Nicobar,North and Middle Andaman,477,25,28695,9,0,294,147,3378,3.45,11
Andaman & Nicobar,South Andaman,0,122,54698,41,0,553,451,12883,6.67,45
Andaman & Nicobar,Nicobar,0,0,7642,3,0,0,20,997,0.0,0
Andhra Pradesh,Krishna,0,7001,562699,22339,0,803,1725,111256,2.51,196
Andhra Pradesh,Guntur,0,14435,538162,19415,0,1939,2215,121704,2.6,426
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,17635,427589,15066,0,598,344,54198,2.56,467
Andhra Pradesh,Kurnool,0,28931,439491,14292,0,3632,671,64487,1.72,561
Andhra Pradesh,Visakhapatnam,6,14625,516460,16071,9,2691,4526,146329,2.33,404
Andhra Pradesh,Anantapur,82,9648,498019,15753,0,1128,852,68898,2.91,314
Andhra Pradesh,Chittoor,0,17280,566943,18644,0,1358,1334,102778,2.32,432
Andhra Pradesh,East Godavari,0,25031,580413,27509,0,1074,458,117561,1.42,371
Andhra Pradesh,Prakasam,47,3152,437702,15586,0,113,742,69671,3.22,105
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,2250,442111,15714,0,489,652,71649,5.88,161
Andhra Pradesh,Srikakulam,0,44801,381223,16060,0,281,209,52558,1.97,888
Andhra Pradesh,Vizianagaram,0,8148,311030,12120,0,278,251,42927,3.61,304
Andhra Pradesh,West Godavari,0,27610,466795,18895,0,241,241,62069,1.25,349
Arunachal Pradesh,Itanagar Capital Complex,38,9,16963,19,0,56,101,16872,23.08,15
Arunachal Pradesh,Lower Siang,10,0,3901,10,0,0,3,1157,0.0,0
Arunachal Pradesh,Pakke Kessang,0,0,2909,9,0,0,1,1143,0.0,0
Arunachal Pradesh,Changlang,200,94,15317,50,0,27,109,7665,7.44,9
Arunachal Pradesh,Kurung Kumey,0,3,2444,20,0,46,37,2090,42.86,21
Arunachal Pradesh,Anjaw,0,21,2058,4,0,45,8,1451,21.21,14
Arunachal Pradesh,East Kameng,0,2,5777,11,0,7,50,2547,11.11,1
Arunachal Pradesh,Kamle,0,11,1527,4,0,9,8,742,0.0,0
Arunachal Pradesh,Dibang Valley,20,0,735,4,0,1,1,1028,900.0,9
Arunachal Pradesh,Tirap,0,35,3862,38,0,10,12,3117,33.33,15
Arunachal Pradesh,Kra Daadi,0,2,1449,31,0,11,22,1302,53.85,7
Arunachal Pradesh,West Kameng,0,27,12026,10,0,98,113,6071,12.0,15
Arunachal Pradesh,Lohit,0,46,5559,16,0,4,10,2762,0.0,0
Arunachal Pradesh,Tawang,0,11,7231,25,0,0,60,4065,81.82,9
Arunachal Pradesh,Lower Dibang Valley,139,0,6601,9,0,0,14,3230,0.0,0
Arunachal Pradesh,Lower Subansiri,0,9,6680,23,0,0,10,3258,11.11,1
Arunachal Pradesh,Lepa Rada,0,1,3761,1,0,9,7,1629,0.0,0
Arunachal Pradesh,Upper Siang,0,8,5571,4,0,13,21,2250,42.86,9
