state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses
Andaman & Nicobar,North and Middle Andaman,0,9,28704,10,0,45,181,3619,11.11,6,54
Andaman & Nicobar,South Andaman,0,84,54777,47,0,360,405,13306,8.11,36,444
Andaman & Nicobar,Nicobar,0,0,7642,3,0,0,12,997,0.0,0,0
Andhra Pradesh,Krishna,0,2287,563941,17339,0,312,1552,111477,5.04,131,2599
Andhra Pradesh,Guntur,0,12516,551737,21112,0,2066,2451,123928,1.84,268,14582
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,4800,432272,15676,0,226,368,54378,4.85,244,5026
Andhra Pradesh,Kurnool,0,14696,456107,16625,0,2124,905,66234,2.62,440,16820
Andhra Pradesh,Visakhapatnam,5,4860,523754,16476,10,2784,4838,149772,3.87,296,7644
Andhra Pradesh,Anantapur,24,5198,503350,16307,0,745,976,70012,3.31,197,5943
Andhra Pradesh,Chittoor,54,11804,575087,19405,100,888,1242,103604,3.61,458,12692
Andhra Pradesh,East Godavari,50,127,581037,26675,0,269,434,117958,1.01,4,396
Andhra Pradesh,Prakasam,42,6377,440990,12776,0,646,730,70203,2.24,157,7023
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,934,443929,15684,0,400,659,72016,7.2,96,1334
Andhra Pradesh,Srikakulam,0,0,388426,17069,0,0,218,52628,0.0,0,0
Andhra Pradesh,Vizianagaram,0,5160,318485,13183,0,149,270,43064,3.6,191,5309
Andhra Pradesh,West Godavari,0,116,468452,18002,0,22,281,62424,23.19,32,138
Arunachal Pradesh,Itanagar Capital Complex,0,13,16981,12,0,65,89,16987,2.56,2,78
Arunachal Pradesh,Lower Siang,0,0,3901,9,0,0,3,1157,0.0,0,0
Arunachal Pradesh,Pakke Kessang,0,0,2909,7,0,0,0,1143,0.0,0,0
Arunachal Pradesh,Changlang,160,104,15528,69,0,95,58,7740,5.53,11,199
Arunachal Pradesh,Kurung Kumey,0,0,2444,9,0,0,27,2090,0.0,0,0
Arunachal Pradesh,Anjaw,0,0,2058,4,0,0,8,1451,0.0,0,0
Arunachal Pradesh,East Kameng,0,31,5808,13,0,4,11,2551,14.29,5,35
Arunachal Pradesh,Kamle,0,0,1527,4,0,0,3,742,0.0,0,0
Arunachal Pradesh,Dibang Valley,20,0,788,11,0,0,1,1028,0.0,0,0
Arunachal Pradesh,Tirap,0,0,3862,33,0,0,2,3117,0.0,0,0
Arunachal Pradesh,Kra Daadi,0,0,1451,13,0,15,17,1340,33.33,5,15
Arunachal Pradesh,West Kameng,0,10,12036,9,0,118,100,6185,9.38,12,128
Arunachal Pradesh,Lohit,0,11,5570,16,0,17,10,2777,42.86,12,28
Arunachal Pradesh,Tawang,0,64,7324,35,0,40,39,4105,15.38,16,104
Arunachal Pradesh,Lower Dibang Valley,140,2,6603,7,0,8,14,3238,0.0,0,10
Arunachal Pradesh,Lower Subansiri,0,9,6714,19,0,4,3,3267,130.77,17,13
Arunachal Pradesh,Lepa Rada,0,2,3763,2,0,18,8,1647,0.0,0,20
Arunachal Pradesh,Upper Siang,0,0,5571,2,0,0,7,2250,0.0,0,0
Arunachal Pradesh,Shi Yomi,0,0,1957,6,0,0,0,702,0.0,0,0
Arunachal Pradesh,Namsai,36,49,13535,80,0,1,4,3828,20.0,10,50
Arunachal Pradesh,Siang,40,51,4222,25,0,5,1,1195,7.14,4,56
Arunachal Pradesh,West Siang,0,7,10087,3,0,45,11,3388,34.62,18,52
Arunachal Pradesh,Papum Pare,0,4,7011,23,0,14,25,6221,66.67,12,18
Arunachal Pradesh,Longding,0,0,2112,5,0,0,4,3005,0.0,0,0
Arunachal Pradesh,Upper Subansiri,0,0,8059,16,0,0,28,3250,0.0,0,0
Arunachal Pradesh,East Siang,20,38,13690,29,0,27,18,5682,23.08,15,65
Assam,Dibrugarh,0,1488,127969,840,0,1372,986,58331,3.15,90,2860
Assam,Sivasagar,0,724,68474,567,0,463,223,15066,4.47,53,1187
Assam,Tinsukia,0,1931,83116,915,0,2552,506,27337,4.84,217,4483
Assam,Baksa,0,253,47430,391,440,401,248,15255,13.15,86,654
Assam,Barpeta,0,1363,127183,859,0,225,668,30897,9.57,152,1588
Assam,Darrang,0,713,67629,816,0,40,394,24071,4.91,37,753
