state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully
Andaman & Nicobar,North and Middle Andaman,0,13,28776,3,0,0,777,209,6680,3.8,30,790,18732,16723,893,3299
Andaman & Nicobar,South Andaman,323,129,56049,64,101,0,1271,471,22381,3.57,50,1400,42530,35896,844,10361
Andaman & Nicobar,Nicobar,0,47,7716,8,239,0,551,271,3123,5.35,32,598,5817,5022,863,1907
Andhra Pradesh,Krishna,788,3687,833719,13983,0,0,4351,8623,263435,3.38,272,8038,522594,574660,1100,270476
Andhra Pradesh,Guntur,2805,10103,777932,12593,0,0,6324,6689,233920,1.42,233,16427,491251,520714,1060,249110
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",329,841,594226,6994,0,0,1025,6764,129105,3.97,74,1866,324462,398830,1229,192854
Andhra Pradesh,Kurnool,0,31,571355,5850,0,0,231,5902,168098,3.05,8,262,318077,421374,1325,183837
Andhra Pradesh,Visakhapatnam,6548,3374,743561,11140,1571,1571,6670,11475,388719,2.35,236,10044,561681,570868,1016,246263
Andhra Pradesh,Anantapur,0,98,647145,6540,0,0,154,6546,148483,11.11,28,252,370953,424375,1144,210655
Andhra Pradesh,Chittoor,96,121,728955,8615,252,252,1233,7476,205980,4.87,66,1354,423963,511010,1205,249956
Andhra Pradesh,East Godavari,392,132,836355,12589,1000,0,919,10793,284327,1.81,19,1051,515447,605271,1174,259543
Andhra Pradesh,Prakasam,20,301,624900,10068,1029,0,127,5522,150871,5.14,22,428,354413,421310,1189,203487
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,374,585145,6626,0,0,573,5498,155454,4.54,43,947,344947,395669,1147,212590
Andhra Pradesh,Srikakulam,0,37,560121,8410,0,0,370,4426,129977,3.19,13,407,297998,392089,1316,139569
Andhra Pradesh,Vizianagaram,0,659,434127,6323,0,0,316,5589,140141,3.59,35,975,250470,323779,1293,114150
Andhra Pradesh,West Godavari,0,246,768538,14854,0,0,584,10166,199398,2.41,20,830,416939,551070,1322,219518
Arunachal Pradesh,Itanagar Capital Complex,35,34,19539,58,37,0,915,991,47754,3.27,31,949,38079,29212,767,7732
Arunachal Pradesh,Lower Siang,0,7,4086,12,0,0,80,177,3725,3.45,3,87,4131,3682,891,1107
Arunachal Pradesh,Pakke Kessang,0,0,3169,12,0,0,7,30,1903,42.86,3,7,2651,2418,912,1448
Arunachal Pradesh,Changlang,675,36,20517,430,292,0,239,2588,30608,12.73,35,275,28667,22465,784,4687
Arunachal Pradesh,Kurung Kumey,10,0,2483,0,0,0,0,8,2341,0.0,0,0,2290,2472,1079,1949
Arunachal Pradesh,Anjaw,0,0,3417,47,0,0,0,59,2735,0.0,0,0,3305,2853,863,1347
Arunachal Pradesh,East Kameng,0,16,8382,50,45,0,171,61,4333,1.6,3,187,6507,6206,954,1894
Arunachal Pradesh,Kamle,0,0,1616,3,0,0,115,31,1222,4.35,5,115,1645,1194,726,537
Arunachal Pradesh,Dibang Valley,100,19,963,4,0,0,19,69,1585,5.26,2,38,1483,1065,718,895
Arunachal Pradesh,Tirap,0,134,6956,127,0,0,318,276,7486,3.98,18,452,8409,6034,718,2645
Arunachal Pradesh,Kra Daadi,10,15,1788,13,0,0,15,13,1725,0.0,0,30,1830,1685,921,731
Arunachal Pradesh,West Kameng,1,31,13461,43,0,0,755,434,13436,3.05,24,786,14913,11986,804,6852
Arunachal Pradesh,Lohit,0,50,6678,76,0,0,388,234,6794,2.74,12,438,7679,5793,754,2055
Arunachal Pradesh,Tawang,0,27,7843,11,0,0,755,628,12310,3.58,28,782,10545,9599,910,4314
Arunachal Pradesh,Lower Dibang Valley,178,149,7811,116,2,0,478,624,9854,2.07,13,627,9531,8136,854,2594
Arunachal Pradesh,Lower Subansiri,0,12,7392,31,0,0,163,188,7629,8.57,15,175,7672,7350,958,4075
Arunachal Pradesh,Lepa Rada,0,12,4019,12,0,0,292,127,3545,1.97,6,304,4038,3525,873,2534
Arunachal Pradesh,Upper Siang,0,11,6359,38,54,0,416,156,4672,5.39,23,427,5769,5265,913,2681
Arunachal Pradesh,Shi Yomi,10,11,2071,7,0,0,132,97,1657,11.89,17,143,1860,1868,1004,1436
Arunachal Pradesh,Namsai,0,42,16127,14,0,0,828,654,11384,4.6,40,870,14941,12574,842,4577
Arunachal Pradesh,Siang,0,150,4358,16,0,0,189,113,2323,6.19,21,339,3401,3279,964,1751
Arunachal Pradesh,West Siang,0,80,10755,61,0,0,458,675,11254,4.09,22,538,11628,10380,893,4220
Arunachal Pradesh,Papum Pare,0,30,8097,26,0,0,267,369,12084,4.38,13,297,12179,8002,657,4539
Arunachal Pradesh,Longding,20,10,4918,64,418,0,246,109,4597,5.47,14,256,5950,3568,600,1741
Arunachal Pradesh,Upper Subansiri,0,28,9851,34,496,0,87,55,4956,13.04,15,115,7628,7178,941,3155
Arunachal Pradesh,East Siang,0,32,14319,17,0,0,1804,988,15622,2.94,54,1836,15316,14621,955,8518
Assam,Dibrugarh,2,4386,153991,1743,2,0,14509,7379,145217,1.98,375,18895,158207,140976,891,49691
Assam,Sivasagar,5,1810,80372,944,8,0,8040,2754,43111,1.73,170,9850,66939,56535,845,28017
Assam,Tinsukia,200,2332,117403,1922,500,0,6009,4972,91180,3.46,289,8341,111453,97101,871,29259
Assam,Baksa,1859,898,55337,576,1301,0,3471,1928,32886,3.0,131,4369,47414,40799,860,19015
Assam,Barpeta,510,3609,140800,1021,177,0,9926,3554,61305,2.84,385,13535,105756,96331,911,100213
Assam,Darrang,0,1303,78282,641,0,0,3446,2451,46288,4.23,201,4749,68163,56391,827,27963
Assam,Kamrup Metropolitan,7575,6564,285664,3404,9203,151,18928,12150,397644,2.97,758,25492,381178,302314,793,124480
Assam,Kamrup Rural,120,1091,202552,1006,1606,108,2899,2532,79294,3.51,140,3990,149911,131901,880,58101
Assam,Karbi-Anglong,215,471,41762,228,428,0,1976,1077,28152,10.34,253,2447,38987,30926,793,17416
Assam,Nalbari,22,1795,68343,689,0,0,4413,1961,35596,3.41,212,6208,57184,46742,817,19425
Assam,Golaghat,0,851,92231,663,0,0,3280,2529,47782,0.22,9,4131,76496,63499,830,31238
Assam,Jorhat,110,3646,108624,1230,23,0,6887,2768,57525,2.72,287,10533,88827,77308,870,38228
Assam,Morigaon,67,1987,78116,1036,70,0,4218,1915,34930,1.69,105,6205,56642,56396,996,23015
Assam,Nagaon,95,3028,155589,1867,29,0,6489,4920,112009,2.03,193,9517,136930,130644,954,55113
Assam,Bongaigaon,6,1924,63157,464,5,0,3485,2547,46642,3.72,201,5409,57415,52372,912,29031
Assam,Chirang,645,1111,32834,336,555,0,3653,1026,24240,2.85,136,4764,32732,24337,744,17391
Assam,Dhubri,47,1899,83659,827,0,0,5031,2559,45992,1.3,90,6930,70924,58712,828,36549
