state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people
Andaman & Nicobar,North and Middle Andaman,0,33,30950,313,0,0,1251,701,10816,2.02,26,1284,21977,19785,900,3324,38442,540
Andaman & Nicobar,South Andaman,2,152,62356,936,0,0,2524,2059,34835,2.39,64,2676,53797,43385,806,10598,86747,1503
Andaman & Nicobar,Nicobar,45,19,9138,210,40,0,605,575,5851,2.56,16,624,7946,7042,886,1924,13065,510
Andhra Pradesh,Krishna,605,9299,1071273,47830,123,123,15559,20869,354094,4.47,1112,24858,679145,746013,1098,283400,1141974,28214
Andhra Pradesh,Guntur,845,8171,996680,43219,454,454,5724,17521,314788,2.12,295,13895,647701,663630,1025,259912,1051571,23612
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",252,799,770461,32005,0,0,600,12672,172446,8.65,121,1399,431613,511136,1184,197673,745242,16439
Andhra Pradesh,Kurnool,138,9787,732275,28792,96,96,8690,11915,211806,2.61,483,18477,418253,525726,1257,187066,757086,13993
Andhra Pradesh,Visakhapatnam,1399,4260,945071,38820,473,473,6936,21509,480920,3.52,394,11196,715931,709894,992,252602,1173582,24271
Andhra Pradesh,Anantapur,0,699,844951,34749,0,0,673,13564,198442,6.34,87,1373,490315,552634,1127,215652,827776,17510
Andhra Pradesh,Chittoor,1119,1390,945983,39329,210,210,1799,16856,276151,6.3,201,3189,563321,658663,1169,259537,962597,19108
Andhra Pradesh,East Godavari,1566,1187,1059730,44397,885,243,2410,20705,360416,5.09,183,3597,667164,752820,1128,266637,1153677,27035
Andhra Pradesh,Prakasam,5057,3419,816103,37402,256,0,1741,12075,196928,3.1,160,5160,472794,540106,1142,210117,802969,19468
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,12740,767916,32746,1,0,6566,14841,222624,1.99,384,19306,465997,524347,1125,222810,768204,15825
Andhra Pradesh,Srikakulam,14,1426,681469,25631,0,0,2191,10520,173457,7.82,283,3617,375196,479655,1278,148253,706673,14972
Andhra Pradesh,Vizianagaram,449,1646,537201,20741,0,0,1483,9485,170868,3.55,111,3129,314040,393951,1254,117754,590316,13405
Andhra Pradesh,West Godavari,150,2056,969906,43611,0,0,1062,17605,252441,7.41,231,3119,538327,683889,1270,222561,999786,29421
Arunachal Pradesh,Itanagar Capital Complex,0,106,24402,721,0,0,966,1410,53921,3.54,38,1072,44728,33585,751,7787,70536,1019
Arunachal Pradesh,Lower Siang,0,18,4765,101,0,0,170,271,5011,6.38,12,188,5238,4538,866,1107,8669,214
Arunachal Pradesh,Pakke Kessang,0,1,4184,156,0,0,19,94,2375,0,0,20,3412,3144,921,1456,5103,42
Arunachal Pradesh,Changlang,404,122,23073,415,520,0,126,665,33688,8.87,22,248,32220,24536,762,4718,52043,406
Arunachal Pradesh,Kurung Kumey,0,10,3561,154,0,0,95,162,3445,4.76,5,105,3265,3642,1115,1954,5052,37
Arunachal Pradesh,Anjaw,0,4,4185,134,0,0,142,198,3977,2.74,4,146,4352,3809,875,1407,6755,131
Arunachal Pradesh,East Kameng,0,13,9689,199,47,0,129,227,5614,5.63,8,142,7954,7346,924,1898,13415,156
Arunachal Pradesh,Kamle,0,0,1945,48,0,0,42,83,1628,19.05,8,42,2028,1545,762,537,3036,54
Arunachal Pradesh,Dibang Valley,0,1,1356,59,0,0,108,147,2346,0.92,1,109,2145,1557,726,920,2782,74
Arunachal Pradesh,Tirap,0,30,8216,244,0,0,102,465,9867,6.06,8,132,10773,7308,678,2653,15430,329
Arunachal Pradesh,Kra Daadi,50,7,2215,67,0,0,50,80,2260,5.26,3,57,2351,2124,903,740,3735,41
Arunachal Pradesh,West Kameng,1,86,18063,680,0,0,808,1216,19531,2.91,26,894,20913,16674,797,6891,30703,911
Arunachal Pradesh,Lohit,0,86,7911,198,0,0,546,618,9941,6.01,38,632,10310,7535,731,2081,15771,519
Arunachal Pradesh,Tawang,0,54,10586,399,0,0,672,846,15582,3.31,24,726,13971,12187,872,4358,21810,622
Arunachal Pradesh,Lower Dibang Valley,157,75,9896,379,0,0,476,740,12558,5.26,29,551,12216,10235,838,2669,19871,751
Arunachal Pradesh,Lower Subansiri,0,31,10280,429,25,0,330,446,9928,2.49,9,361,10318,9889,958,4097,16111,290
Arunachal Pradesh,Lepa Rada,0,13,5791,259,0,0,360,389,5676,4.56,17,373,6168,5298,859,2536,8931,285
Arunachal Pradesh,Upper Siang,10,36,8381,297,0,0,59,338,6032,26.32,25,95,7529,6883,914,2696,11717,250
Arunachal Pradesh,Shi Yomi,0,6,3227,169,5,0,233,246,2697,4.6,11,239,2896,3028,1046,1437,4487,210
Arunachal Pradesh,Namsai,0,74,19294,463,0,0,1020,924,15542,2.38,26,1094,18731,16104,860,4604,30289,738
Arunachal Pradesh,Siang,2,70,5811,222,0,0,532,285,3881,4.65,28,602,4905,4786,976,1756,8035,270
Arunachal Pradesh,West Siang,0,32,13652,444,0,0,478,860,14283,1.96,10,510,14730,13202,896,4293,23642,691
Arunachal Pradesh,Papum Pare,0,37,10460,355,0,0,278,639,15279,11.11,35,315,15805,9930,628,4688,21051,325
Arunachal Pradesh,Longding,20,5,5635,135,0,0,33,271,5958,5.26,2,38,7487,4106,548,1744,9849,156
Arunachal Pradesh,Upper Subansiri,300,33,12531,399,200,0,73,168,5954,13.21,14,106,9564,8918,932,3173,15312,114
Arunachal Pradesh,East Siang,98,113,21266,1005,126,0,1731,1648,22972,2.49,46,1844,22433,21796,972,8544,35755,1442
Assam,Dibrugarh,0,1464,192879,6795,189,0,3523,11192,181380,2.87,143,4987,199103,175109,879,53437,320848,10357
Assam,Sivasagar,0,1256,105840,4234,10,0,3661,5811,66141,1.48,73,4917,94032,77932,829,29488,142515,5835
Assam,Tinsukia,1,1785,143950,5064,0,0,4337,8579,122997,2.25,138,6122,143554,123357,859,31141,235890,9206
Assam,Baksa,8,1063,71953,2747,13,0,2364,4146,51420,2.13,73,3427,67418,55930,830,20366,103067,3992
Assam,Barpeta,10,1923,232791,13856,0,0,5021,8970,101931,2.82,196,6944,176038,158637,901,102943,231794,8121
Assam,Darrang,0,1317,101853,3788,0,0,2729,4791,67459,2.57,104,4046,93305,75986,814,29002,140310,4436
Assam,Kamrup Metropolitan,638,4960,374240,15036,339,75,11648,21649,493701,2.54,422,16608,488804,378984,775,130091,737911,18110
Assam,Kamrup Rural,435,1875,251908,7591,1382,110,5616,6572,109224,3.32,249,7491,195109,165973,851,60166,301094,5586
Assam,Karbi-Anglong,107,729,53785,1870,108,0,2073,3004,43623,4.93,138,2802,55469,41928,756,18857,78804,2216
Assam,Nalbari,0,1406,85141,2981,0,0,2573,4279,53807,4.8,191,3979,76722,62208,811,19978,118970,4406
Assam,Golaghat,0,1704,118181,4152,0,0,4308,6215,75569,0.13,8,6012,106520,87204,819,32395,161355,5739
Assam,Jorhat,4,1879,143926,5825,8,0,4586,7212,88902,3.33,215,6465,126546,106244,840,41505,191504,7133
Assam,Morigaon,15,1360,100425,3758,15,0,2915,4493,53322,4.09,175,4275,77657,76075,980,24256,129492,4786
Assam,Nagaon,19,2997,206331,8445,9,0,5516,9231,154748,1.73,147,8513,186326,174701,938,57376,303747,9486
Assam,Bongaigaon,3,1417,88847,4088,0,0,2554,5002,68621,2.74,109,3971,82822,74628,901,30656,126812,4710
Assam,Chirang,99,821,46067,2130,237,0,1987,3214,39759,2.92,82,2808,50356,35458,704,18037,67851,2776
Assam,Dhubri,0,1669,116188,5318,0,0,4410,7266,79838,1,61,6079,107552,88445,822,38124,157909,7139
Assam,Goalpara,102,1723,81845,3636,29,0,3813,6016,74272,3.87,214,5536,82523,73522,891,27223,129043,5785
Assam,Kokrajhar,163,1665,70823,2535,163,0,4830,4748,63446,3.62,235,6495,77689,56562,728,23085,111301,4002
Assam,Dhemaji,5,1183,90964,3332,0,0,3473,5725,71339,2.23,104,4656,83069,79202,953,24779,137595,5528
Assam,Lakhimpur,12,1613,121447,4665,14,0,4092,6485,74724,1.49,85,5705,103867,92278,888,33696,162547,6346
Assam,Sonitpur,1,2061,183309,10709,0,0,6911,11541,152075,3.54,318,8972,175771,159572,908,77400,258145,11217
Assam,Udalguri,15,938,65861,2238,12,0,2808,4215,53773,2.78,104,3746,65146,54467,836,18491,101177,3816
Assam,Cachar,1,575,181442,7508,3,0,2020,10588,170460,3.28,85,2595,190221,161653,850,48625,303390,11166
Assam,Dima Hasao,9,396,29795,1359,44,0,1644,2430,31188,2.94,60,2040,35849,25116,701,11513,49562,2158
Assam,Hailakandi,85,88,76466,3070,192,0,141,4554,59694,9.17,21,229,75519,60625,803,23135,113025,4319
Assam,Karimganj,314,164,96607,3928,254,0,543,5623,70863,6.08,43,707,93566,73883,790,30632,136897,5184
Bihar,Madhepura,437,84,161105,4142,764,0,216,3829,94220,10,30,300,137676,117587,854,30106,225219,3670
Bihar,Saharsa,0,68,177249,4838,125,0,105,4947,102688,4.05,7,173,146573,133290,909,33413,246524,5011
Bihar,Supaul,7,362,189033,4364,0,0,1035,5568,113339,3.08,43,1397,162972,139341,855,26322,276358,6215
Bihar,Purnia,0,372,333255,9002,0,0,426,13301,235053,4.01,32,798,297837,270330,908,64954,503509,13045
Bihar,Araria,34262,2212,194077,6011,46391,0,3908,5817,113726,1.27,78,6142,165545,142200,859,34223,273958,6993
Bihar,Katihar,189,428,186086,5796,60,0,942,6429,159499,4.38,60,1370,182809,162730,890,40740,304845,6405
Bihar,Kishanganj,1698,120,112742,3462,960,0,340,3889,86818,10.87,50,460,110460,89072,806,28012,171548,3349
Bihar,Aurangabad,0,544,168346,4834,0,0,1843,6054,124935,2.64,63,2387,167502,125704,750,32444,260951,6270
Bihar,Arwal,0,388,52857,2084,0,0,696,1766,35748,4.24,46,1084,48906,39679,811,13607,74998,1907
Bihar,Gaya,0,4469,353531,15220,2804,0,10532,14872,276302,2.13,319,15001,352001,277725,789,118049,512293,13300
Bihar,Kaimur,0,261,130581,3380,0,0,1241,3051,75922,2.53,38,1502,115240,91222,792,23504,182999,3073
Bihar,Rohtas,334,876,244214,7256,52,0,1379,8295,162832,1.55,35,2255,232959,174035,747,48839,358207,8574
Bihar,Bhagalpur,0,4461,314042,11161,0,0,10906,13538,251396,1.13,173,15367,305936,259420,848,74434,491291,14106
Bihar,Banka,6970,498,190475,7367,7523,0,1769,8268,125682,1.01,23,2267,165991,150112,904,43499,272945,9462
Bihar,Lakhisarai,434,850,66611,2024,154,0,1688,2231,48238,1.65,42,2538,62794,52037,829,14141,100800,2248
Bihar,Munger,319,224,121626,4102,1,0,432,3465,84309,3.66,24,656,116633,89248,765,29968,175967,3286
