state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Andaman & Nicobar,North and Middle Andaman,0,0,28704,5,0,0,89,3711,0.0,0,0,17196,15217,885
Andaman & Nicobar,South Andaman,0,64,55069,70,0,441,434,15370,6.93,35,505,38357,32078,836
Andaman & Nicobar,Nicobar,0,0,7651,1,0,0,0,998,0.0,0,0,4553,4096,900
Andhra Pradesh,Krishna,4,30264,627358,9845,9,6446,2174,126010,0.98,360,36740,392672,360794,919
Andhra Pradesh,Guntur,0,31298,597933,9990,0,4684,1802,132946,1.8,648,35982,384781,346182,900
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,23971,485201,10563,0,766,366,56253,1.71,423,24737,267992,273439,1020
Andhra Pradesh,Kurnool,0,18419,493358,11498,0,1381,1093,69435,2.17,430,19800,276475,286335,1036
Andhra Pradesh,Visakhapatnam,0,31214,583328,11581,0,12285,6022,185746,1.1,479,43531,402790,366482,910
Andhra Pradesh,Anantapur,0,26156,551702,8779,0,1245,859,74206,1.75,479,27401,318383,307341,965
Andhra Pradesh,Chittoor,50,29038,627709,11044,99,2364,1061,108886,1.81,568,31402,364970,371670,1018
Andhra Pradesh,East Godavari,0,36851,652789,12045,0,1892,581,121319,1.05,406,38744,411402,362756,882
Andhra Pradesh,Prakasam,0,11790,489828,7919,0,787,647,74078,2.33,293,12577,288385,275491,955
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,18780,487904,6885,0,1707,515,74795,1.63,333,20487,282203,280501,994
Andhra Pradesh,Srikakulam,0,23427,437724,14174,0,637,451,55442,3.85,926,24064,238469,254694,1068
Andhra Pradesh,Vizianagaram,0,13002,353051,7099,0,2265,922,49165,1.59,243,15267,195247,206960,1060
Andhra Pradesh,West Godavari,0,19694,547620,12187,0,2301,694,66824,1.39,305,21995,307528,306985,998
Arunachal Pradesh,Itanagar Capital Complex,0,303,17724,110,0,4135,2233,32445,0.5,22,4438,28768,21401,744
Arunachal Pradesh,Lower Siang,17,0,3910,1,0,135,26,1341,3.7,5,135,2791,2460,881
Arunachal Pradesh,Pakke Kessang,0,7,2966,8,0,69,33,1372,5.26,4,76,2267,2068,912
Arunachal Pradesh,Changlang,17,90,15873,92,0,1154,295,9719,2.09,26,1244,14831,10761,726
Arunachal Pradesh,Kurung Kumey,0,0,2444,5,0,62,17,2160,12.9,8,62,2185,2357,1079
Arunachal Pradesh,Anjaw,0,120,2306,38,0,9,9,1469,16.28,21,129,2047,1731,846
Arunachal Pradesh,East Kameng,0,65,6079,43,0,182,54,2920,1.21,3,247,4689,4308,919
Arunachal Pradesh,Kamle,0,0,1527,2,0,0,1,742,0.0,0,0,1230,1040,846
Arunachal Pradesh,Dibang Valley,0,0,818,12,0,0,2,1039,0.0,0,0,1104,753,682
Arunachal Pradesh,Tirap,0,42,4055,33,0,244,46,3430,4.9,14,286,4710,2774,589
Arunachal Pradesh,Kra Daadi,0,28,1519,10,0,42,16,1405,0.0,0,70,1532,1393,909
Arunachal Pradesh,West Kameng,0,24,12112,16,0,59,62,6405,20.48,17,83,10748,7771,723
Arunachal Pradesh,Lohit,0,37,5687,25,0,305,71,3259,5.26,18,342,5400,3543,656
Arunachal Pradesh,Tawang,0,133,7606,55,0,54,15,4170,12.3,23,187,6413,5358,835
Arunachal Pradesh,Lower Dibang Valley,37,13,6644,11,0,555,90,3817,5.63,32,568,5665,4795,846
Arunachal Pradesh,Lower Subansiri,0,12,6732,9,0,514,147,4285,0.76,4,526,5541,5476,988
Arunachal Pradesh,Lepa Rada,0,2,3776,2,0,108,23,1784,0.0,0,110,3034,2526,833
Arunachal Pradesh,Upper Siang,0,0,5587,3,0,142,26,2418,5.63,8,142,4192,3813,910
Arunachal Pradesh,Shi Yomi,0,0,1962,6,0,0,1,706,0.0,0,0,1320,1348,1021
Arunachal Pradesh,Namsai,0,70,13890,82,0,606,129,4734,3.55,24,676,10041,8588,855
Arunachal Pradesh,Siang,0,0,4222,7,0,314,45,1505,1.91,6,314,2896,2830,977
Arunachal Pradesh,West Siang,0,11,10111,5,0,402,114,4132,1.69,7,413,7526,6717,893
Arunachal Pradesh,Papum Pare,0,46,7112,34,0,434,112,6887,8.33,40,480,8925,5075,569
Arunachal Pradesh,Longding,0,29,2193,12,0,1,0,3007,33.33,10,30,3606,1596,443
Arunachal Pradesh,Upper Subansiri,0,11,8475,64,0,6,15,3356,17.65,3,17,6131,5700,930
Arunachal Pradesh,East Siang,20,95,13851,29,0,719,121,6498,5.65,46,814,10498,9851,938
Assam,Dibrugarh,0,56,131675,1110,0,188,950,61427,22.95,56,244,103467,89626,866
Assam,Sivasagar,0,182,69606,464,0,526,424,16828,4.52,32,708,46767,39661,848
Assam,Tinsukia,0,262,85297,837,0,720,867,30420,1.83,18,982,63017,52691,836
Assam,Baksa,0,267,48502,271,0,9,312,15855,26.81,74,276,35101,29252,833
Assam,Barpeta,33,771,129450,656,0,55,73,31041,17.43,144,826,83996,76482,911
Assam,Darrang,0,782,69204,449,0,88,270,24414,6.9,60,870,51933,41673,802
Assam,Kamrup Metropolitan,29,2020,246540,1793,0,9031,3249,223738,5.6,619,11051,265249,205131,773
Assam,Kamrup Rural,265,3871,177805,2317,10,240,207,52142,4.11,169,4111,123410,106505,863
Assam,Karbi-Anglong,0,144,37428,178,0,45,119,18740,16.4,31,189,31899,24269,761
Assam,Nalbari,0,899,56815,352,0,46,220,17503,10.05,95,945,41516,32791,790
Assam,Golaghat,0,1378,80576,383,0,130,244,25543,0.13,2,1508,58857,47249,803
Assam,Jorhat,0,496,91373,765,0,112,359,31329,6.91,42,608,66529,56165,844
Assam,Morigaon,0,1413,66608,451,0,33,415,17679,3.04,44,1446,42697,41581,974
Assam,Nagaon,0,639,129647,511,0,1309,1086,42425,3.7,72,1948,88471,83586,945
Assam,Bongaigaon,0,360,58151,333,0,74,106,24714,22.12,96,434,44175,38682,876
Assam,Chirang,39,235,26897,116,0,23,117,14377,8.53,22,258,24304,16967,698
Assam,Dhubri,24,144,74954,191,0,28,251,22972,10.47,18,172,53805,44110,820
Assam,Goalpara,597,260,55415,136,0,31,68,27689,20.27,59,291,43542,39526,908
Assam,Kokrajhar,30,408,48330,276,0,187,211,24157,14.29,85,595,41357,31128,753
Assam,Dhemaji,0,0,64528,580,0,0,396,21110,0.0,0,0,43454,42170,970
Assam,Lakhimpur,0,2094,78122,553,0,38,176,24501,0.84,18,2132,53979,48635,901
Assam,Sonitpur,282,668,102069,518,0,2020,557,38524,8.63,232,2688,74864,65723,878
Assam,Udalguri,0,584,47023,299,0,226,274,18994,7.41,60,810,36111,29895,828
Assam,Cachar,47,448,102133,1165,0,760,946,39909,8.15,95,1165,75897,66147,872
Assam,Dima Hasao,198,8,19689,23,0,12,6,10054,0.0,0,20,17743,11995,676
Assam,Hailakandi,0,207,49525,463,0,5,332,20293,22.64,48,212,38453,31361,816
Assam,Karimganj,0,149,63783,411,0,102,576,26326,19.52,49,251,49608,40491,816
Bihar,Madhepura,0,245,120720,266,363,1250,376,41471,3.68,55,1495,89284,72901,817
Bihar,Saharsa,0,751,127540,475,453,2224,372,40606,2.18,65,2975,89356,78772,882
Bihar,Supaul,0,784,130721,1033,1381,3480,702,46177,2.31,96,4154,98657,78260,793
Bihar,Purnia,0,939,236723,2168,2431,4512,950,85432,4.57,249,5451,172399,149729,869
Bihar,Araria,416,519,144831,1080,2192,2888,688,53642,1.26,43,3407,109459,89024,813
Bihar,Katihar,1132,1144,122544,998,18,3000,851,68804,1.35,56,4144,105003,86362,822
Bihar,Kishanganj,0,433,80407,560,0,1471,793,37915,4.52,86,1904,65250,53094,814
Bihar,Aurangabad,0,1415,112319,1643,728,2451,977,52215,5.02,194,3866,95424,69099,724
Bihar,Arwal,0,172,35056,153,0,535,178,14554,3.25,23,707,27123,22489,829
Bihar,Gaya,5754,1866,227125,1043,629,4876,1656,112343,5.16,348,6742,187671,151863,809
Bihar,Kaimur,1630,339,97250,693,136,1935,694,36039,2.02,46,2274,73797,59484,806
Bihar,Rohtas,867,1102,173027,1353,64,3595,949,66535,1.13,53,4697,136331,103263,757
Bihar,Bhagalpur,0,799,218102,772,277,5402,1623,89674,0.63,39,6201,166691,141067,846
Bihar,Banka,201,439,126929,370,623,1659,946,42614,2.0,42,2098,88422,81127,917
Bihar,Lakhisarai,11,444,47220,282,0,954,231,21060,3.0,42,1398,37438,30835,824
Bihar,Munger,0,481,85674,444,0,1266,448,36651,1.32,23,1747,69820,52499,752
Bihar,Muzaffarpur,0,1889,244700,1026,259,7348,2293,128443,2.89,267,9223,211802,161366,762
Bihar,Sheohar,0,121,56934,189,27,716,124,14011,1.55,13,837,37562,33385,889
Bihar,Sitamarhi,0,804,181994,655,0,3804,588,65560,2.65,122,4608,134082,113495,846
Bihar,Vaishali,40,802,222605,756,0,2316,960,69075,4.87,152,3118,154987,136823,883
Bihar,Nalanda,1217,474,227242,590,226,3344,1280,80942,1.62,62,3818,163055,145161,890
Bihar,Jehanabad,0,92,63345,209,1412,1141,363,30496,3.0,37,1233,51451,42403,824
Bihar,Nawada,123,462,134258,565,757,1376,651,48341,7.18,132,1838,96385,86226,895
Bihar,Sheikhpura,0,83,41726,77,115,390,127,14217,1.48,7,473,29614,26333,889
Bihar,Darbhanga,0,2266,273379,2228,0,5880,1842,101430,1.4,114,8146,199283,175550,881
Bihar,Madhubani,0,1090,266305,1711,477,5840,2153,96271,0.58,40,6930,192374,170290,885
Bihar,Samastipur,0,901,253322,728,331,7417,1232,96119,0.5,42,8318,187661,161804,862
Bihar,Patna,297,5691,511182,2480,38,20194,6543,263456,2.37,614,25886,451689,323184,716
Bihar,Begusarai,0,934,204454,835,0,4856,1205,76126,2.42,140,5790,150868,129744,860
Bihar,Bhojpur,0,761,150542,896,91,3519,1181,64192,2.1,90,4280,122180,92665,758
Bihar,Buxar,1198,730,113040,636,0,503,647,36615,6.24,77,1233,83616,66043,790
Bihar,Khagaria,370,227,89431,280,582,1864,464,34209,3.3,69,2091,65952,57711,875
Bihar,Saran,0,1154,288349,1344,0,5462,1830,107647,4.44,294,6616,214374,181710,848
Bihar,Siwan,3410,1186,290304,1611,0,3681,1531,81051,3.55,173,4867,195548,175865,899
Bihar,Gopalganj,0,1611,152295,1468,0,1938,638,49864,3.69,131,3549,114410,87792,767
Bihar,East Champaran,0,2474,268342,2954,119,5851,2464,119717,2.22,185,8325,224785,163143,726
Bihar,West Champaran,351,1544,167234,1259,134,4769,938,78517,2.33,147,6313,144225,101562,704
Bihar,Jamui,157,768,106042,517,180,1266,660,38813,2.75,56,2034,79080,65808,832
Chandigarh,Chandigarh,234,696,198316,603,890,4770,4732,98731,3.73,204,5466,167099,130005,778
Chhattisgarh,Raipur,194,638,324616,289,0,500,128,63267,9.84,112,1138,205862,182040,884
Chhattisgarh,Balod,4480,277,165001,235,0,16,-1,9624,9.22,27,293,83227,91382,1098
Chhattisgarh,Baloda bazar,39,42,184101,59,0,13,3,9950,9.09,5,55,91353,102797,1125
Chhattisgarh,Balrampur,3759,33,126588,196,0,16,5,12173,22.45,11,49,69046,69703,1010
Chhattisgarh,Bastar,869,104,137894,153,0,40,20,22387,18.06,26,144,76296,83987,1101
Chhattisgarh,Bemetara,11500,29,92127,14,0,1,0,6255,0.0,0,30,48181,50194,1042
