state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio
Andaman & Nicobar,North and Middle Andaman,0,0,28719,2,0,0,0,0,3711,0.0,0,0,17206,15222,885
Andaman & Nicobar,South Andaman,0,74,55259,61,0,0,348,378,16577,11.37,48,422,39043,32789,840
Andaman & Nicobar,Nicobar,0,0,7651,1,0,0,0,0,997,0.0,0,0,4552,4096,900
Andhra Pradesh,Krishna,0,3236,659991,11081,6,6,2756,3400,140208,2.3,138,5992,416349,383957,922
Andhra Pradesh,Guntur,0,1321,616787,8521,0,0,1845,2309,141779,4.23,134,3166,398772,359877,902
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,122,490640,5731,0,0,292,359,57458,11.11,46,414,271566,276509,1018
Andhra Pradesh,Kurnool,0,1651,505699,5742,0,0,228,484,70829,4.31,81,1879,282944,293601,1038
Andhra Pradesh,Visakhapatnam,0,3067,616578,11740,0,0,7977,8946,218939,2.14,236,11044,439860,395872,900
Andhra Pradesh,Anantapur,0,1217,555485,4948,0,0,827,390,74623,3.72,76,2044,320562,309361,965
Andhra Pradesh,Chittoor,10,398,636333,7391,5,5,372,993,111117,7.79,60,770,370241,377253,1019
Andhra Pradesh,East Godavari,221,7562,695491,13501,0,0,1481,904,124587,2.07,187,9043,433100,387028,894
Andhra Pradesh,Prakasam,0,1566,518669,9148,0,0,361,792,76989,6.38,123,1927,302999,292626,966
Andhra Pradesh,Sri Potti Sriramulu Nellore,87,1520,504099,5967,15,15,1540,988,79652,2.29,70,3060,293241,290516,991
Andhra Pradesh,Srikakulam,0,1736,451613,6148,0,0,479,598,57017,2.48,55,2215,246020,262608,1067
Andhra Pradesh,Vizianagaram,0,88,358281,4810,0,0,26,1373,52801,14.04,16,114,199740,211331,1058
Andhra Pradesh,West Godavari,0,260,584700,13920,0,0,233,913,69235,3.45,17,493,326456,327551,1003
Arunachal Pradesh,Itanagar Capital Complex,10,124,18430,198,0,0,149,2281,34835,9.89,27,273,30536,22729,744
Arunachal Pradesh,Lower Siang,0,3,3913,2,0,0,46,130,2078,2.04,1,49,3150,2841,902
Arunachal Pradesh,Pakke Kessang,0,0,2988,11,0,0,0,48,1476,0.0,0,0,2329,2132,915
Arunachal Pradesh,Changlang,59,117,16204,84,0,0,113,555,11642,4.35,10,230,15974,11872,743
Arunachal Pradesh,Kurung Kumey,0,0,2476,5,0,0,0,21,2235,0.0,0,0,2232,2417,1083
Arunachal Pradesh,Anjaw,0,72,2554,71,0,0,82,18,1577,10.39,16,154,2208,1926,872
Arunachal Pradesh,East Kameng,0,99,6571,106,0,0,9,150,3602,11.11,12,108,5300,4871,919
Arunachal Pradesh,Kamle,0,0,1560,5,0,0,0,6,785,0.0,0,0,1274,1072,841
Arunachal Pradesh,Dibang Valley,0,7,901,14,0,0,0,8,1083,42.86,3,7,1173,811,691
Arunachal Pradesh,Tirap,0,57,4402,63,0,0,254,150,4189,9.32,29,311,5300,3290,621
Arunachal Pradesh,Kra Daadi,0,0,1558,15,0,0,0,20,1481,0.0,0,0,1579,1462,926
Arunachal Pradesh,West Kameng,0,47,12389,50,0,0,479,266,8064,4.56,24,526,11685,8769,750
Arunachal Pradesh,Lohit,0,28,5747,25,0,0,106,178,4047,4.48,6,134,5818,3973,683
Arunachal Pradesh,Tawang,0,5,7734,48,0,0,236,348,6547,3.73,9,241,7588,6687,881
Arunachal Pradesh,Lower Dibang Valley,79,20,6690,9,0,0,561,242,4941,6.71,39,581,6209,5423,873
Arunachal Pradesh,Lower Subansiri,0,20,6831,17,0,0,37,294,5324,5.26,3,57,6169,5986,970
Arunachal Pradesh,Lepa Rada,0,8,3819,8,0,0,112,79,2209,0.0,0,120,3270,2758,843
Arunachal Pradesh,Upper Siang,0,2,5644,10,0,0,181,122,3102,9.29,17,183,4559,4189,919
Arunachal Pradesh,Shi Yomi,0,0,1962,0,0,0,126,31,926,3.17,4,126,1434,1454,1014
Arunachal Pradesh,Namsai,0,233,14250,91,0,0,36,292,5879,11.52,31,269,10861,9273,854
Arunachal Pradesh,Siang,9,10,4233,2,0,0,0,48,1529,0.0,0,10,2918,2843,974
Arunachal Pradesh,West Siang,0,11,10200,16,0,0,205,320,5626,1.85,4,216,8316,7510,903
Arunachal Pradesh,Papum Pare,0,74,7443,61,0,0,507,323,8487,3.27,19,581,9911,6020,607
Arunachal Pradesh,Longding,0,11,2495,55,156,0,43,49,3345,48.15,26,54,3981,1862,468
Arunachal Pradesh,Upper Subansiri,0,54,8924,112,257,0,163,99,3953,10.6,23,217,6636,6241,940
Arunachal Pradesh,East Siang,20,67,14036,48,0,0,262,346,8105,6.38,21,329,11401,10739,942
Assam,Dibrugarh,0,4344,137116,1072,0,0,5984,2069,74232,3.7,382,10328,113202,98135,867
Assam,Sivasagar,0,506,71278,356,0,0,466,362,17886,3.91,38,972,48281,40877,847
Assam,Tinsukia,0,2626,95143,1529,0,0,2118,1959,41758,4.13,196,4744,74450,62433,839
Assam,Baksa,0,327,49239,183,0,0,47,17,15915,22.99,86,374,35508,29642,835
Assam,Barpeta,0,352,130711,410,0,0,31,19,31083,22.72,87,383,84717,77064,910
Assam,Darrang,0,860,71749,541,0,0,69,47,24527,4.41,41,929,53167,43096,811
Assam,Kamrup Metropolitan,0,1328,250893,1317,0,0,3015,3894,233584,5.92,257,4343,273668,210919,771
Assam,Kamrup Rural,300,2978,187868,2858,10,10,253,195,52760,4.92,159,3231,128913,111681,866
Assam,Karbi-Anglong,0,115,38245,184,0,0,61,83,19044,25.0,44,176,32390,24899,769
Assam,Nalbari,0,678,59119,511,0,0,26,30,17577,6.53,46,704,42768,33915,793
Assam,Golaghat,0,254,83434,609,0,0,5,65,25735,0.39,1,259,60339,48817,809
Assam,Jorhat,0,967,94190,711,0,0,269,101,31814,2.75,34,1236,68268,57727,846
Assam,Morigaon,0,411,68472,481,0,0,18,27,17786,7.23,31,429,43689,42561,974
Assam,Nagaon,0,1285,133286,772,0,0,3428,1781,50952,2.91,137,4713,94730,89496,945
Assam,Bongaigaon,2,292,59056,284,0,0,39,61,24895,23.87,79,331,44739,39204,876
Assam,Chirang,149,533,28243,252,0,0,97,51,14699,6.35,40,630,25082,17856,712
Assam,Dhubri,9,295,75403,135,0,0,285,65,23306,3.45,20,580,54367,44330,815
Assam,Goalpara,594,197,55769,106,0,0,18,13,27733,30.23,65,215,43770,39696,907
Assam,Kokrajhar,0,678,49694,349,0,0,63,72,24351,22.81,169,741,42160,31883,756
Assam,Dhemaji,0,272,65215,135,0,0,86,47,21434,11.73,42,358,43822,42813,977
Assam,Lakhimpur,0,1211,82216,940,0,0,29,10,24538,0.0,0,1240,56096,50649,903
Assam,Sonitpur,0,589,102964,424,0,0,2088,1761,47922,8.7,233,2677,80103,70777,884
Assam,Udalguri,0,310,48095,333,0,0,72,80,19208,9.95,38,382,36641,30651,837
Assam,Cachar,0,3595,110099,1908,0,0,9235,3693,62503,1.95,250,12830,91099,81503,895
Assam,Dima Hasao,218,180,19863,26,0,0,17,9,10098,21.83,43,197,17861,12093,677
Assam,Hailakandi,0,474,51130,317,0,0,20,34,20326,14.29,65,455,39390,32062,814
Assam,Karimganj,0,363,65637,335,0,0,231,135,26662,9.43,56,594,50797,41492,817
Bihar,Madhepura,49,292,121807,254,255,0,708,668,44765,8.0,80,1000,91909,74663,812
Bihar,Saharsa,0,809,131272,831,0,0,60,918,44589,7.02,61,869,93569,82270,879
Bihar,Supaul,0,803,137587,1600,0,0,380,867,48688,4.82,57,1183,103765,82528,795
Bihar,Purnia,0,1604,247731,2672,440,0,2361,2368,96336,7.19,285,3965,184840,159199,861
Bihar,Araria,140,522,147563,859,1250,0,490,1054,57536,4.74,48,1012,113548,91564,806
Bihar,Katihar,1053,1469,128449,1272,1,0,1289,1684,77092,2.61,72,2758,112567,92998,826
Bihar,Kishanganj,0,547,82957,618,0,0,49,776,40570,7.38,44,596,68539,55008,803
Bihar,Aurangabad,0,1670,119332,1821,0,0,128,1216,54384,9.57,172,1798,100491,73212,729
Bihar,Arwal,0,280,35823,178,0,0,344,368,16079,4.17,26,624,28570,23334,817
Bihar,Gaya,6477,1857,231767,1115,0,0,852,2854,121763,10.37,281,2709,195974,157625,804
Bihar,Kaimur,220,398,99413,664,0,0,328,995,39162,6.06,44,726,77116,61450,797
Bihar,Rohtas,595,1218,179343,1545,0,0,109,1414,70026,1.73,23,1327,141829,107572,758
Bihar,Bhagalpur,44,890,221585,809,0,0,661,2789,99341,4.45,69,1551,174470,146435,839
Bihar,Banka,0,455,129797,593,0,0,95,931,45412,0.0,0,550,91584,83635,913
Bihar,Lakhisarai,20,353,48582,349,0,0,49,435,22614,1.99,8,402,39193,31995,816
Bihar,Munger,0,401,87207,397,43,0,443,873,40311,3.08,26,844,72920,54592,749
Bihar,Muzaffarpur,0,1544,252308,1637,9,0,670,3197,136642,5.69,126,2214,220802,168182,762
Bihar,Sheohar,0,140,57496,153,0,0,202,418,16067,2.34,8,342,39263,34306,874
Bihar,Sitamarhi,0,857,185016,818,0,0,180,1014,68726,8.0,83,1037,137782,115989,842
Bihar,Vaishali,0,1354,226177,820,0,0,45,1009,71060,4.36,61,1399,158014,139359,882
Bihar,Nalanda,1155,477,229358,541,113,0,770,1901,87010,3.45,43,1247,168064,148340,883
Bihar,Jehanabad,0,398,64728,284,0,0,103,622,32499,7.78,39,501,53316,43926,824
Bihar,Nawada,0,536,137549,737,163,0,246,775,51462,15.09,118,782,100100,88924,888
Bihar,Sheikhpura,0,97,42011,83,0,0,253,291,15528,2.86,10,350,30647,26895,878
Bihar,Darbhanga,36,3057,285173,2839,0,0,364,2525,107018,2.6,89,3421,207955,184259,886
Bihar,Madhubani,0,1455,273520,1718,0,0,120,2404,98726,2.86,45,1575,197445,174883,886
Bihar,Samastipur,0,996,256684,890,0,0,37,1584,98917,3.58,37,1033,191026,164602,862
Bihar,Patna,132,7162,525709,3226,1713,0,22449,18278,352378,2.63,779,29611,512335,366075,715
Bihar,Begusarai,0,893,208255,920,72,0,214,1752,80577,10.21,113,1107,155824,133046,854
Bihar,Bhojpur,0,860,154209,921,0,0,254,1439,66716,6.82,76,1114,125661,95386,759
Bihar,Buxar,1126,943,116017,751,0,0,72,763,37971,5.42,55,1015,86059,67932,789
Bihar,Khagaria,291,325,90781,304,0,0,103,778,36728,5.14,22,428,68256,59279,868
Bihar,Saran,0,1003,293197,1270,0,0,262,2099,110641,13.83,175,1265,218516,185409,848
Bihar,Siwan,10687,807,295239,1321,0,0,121,2077,85715,16.38,152,928,201390,179629,892
Bihar,Gopalganj,0,1293,159507,1815,0,0,161,1256,54825,5.23,76,1454,121560,92820,764
Bihar,East Champaran,0,3511,281757,3224,0,0,156,3104,124611,3.63,133,3667,235028,171205,728
Bihar,West Champaran,306,2014,175526,1947,0,0,767,2560,90924,4.64,129,2781,157272,109234,695
Bihar,Jamui,85,899,109384,845,138,0,679,912,42681,5.2,82,1578,83527,68573,821
Chandigarh,Chandigarh,290,564,200657,582,1059,1059,977,3594,108826,7.72,119,1541,174297,135266,776
Chhattisgarh,Raipur,199,746,325718,263,0,0,512,143,63836,11.29,142,1258,206710,182864,885
Chhattisgarh,Balod,2959,223,165389,162,0,0,2,0,9629,6.67,15,225,83396,91606,1098
Chhattisgarh,Baloda bazar,48,78,184231,30,0,0,11,1,9953,1.12,1,89,91429,102854,1125
Chhattisgarh,Balrampur,3720,12,126802,39,0,0,16,3,12181,7.14,2,28,69155,69816,1010
Chhattisgarh,Bastar,867,109,138069,73,0,0,65,14,22436,9.2,16,174,76411,84097,1101
Chhattisgarh,Bemetara,2599,61,92149,9,0,0,16,0,6254,3.9,3,77,48188,50209,1042
Chhattisgarh,Bijapur,860,19,36185,7,0,0,21,7,17227,0.0,0,40,30955,22450,725
Chhattisgarh,Bilaspur,19,293,314039,124,0,0,84,21,30460,22.02,83,377,167890,176588,1052
Chhattisgarh,Dantewada,318,24,56547,11,0,0,7,2,13670,29.03,9,31,34678,35528,1025
