state,district,slots,today,Total doses til date,avgdaily,slots 18-44,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,0,556,32833,576,0,0,2,1286,17375,9.32,52,558,26247,23954,913,5014,45194,1146,10
Andaman & Nicobar,South Andaman,0,683,65612,1334,1,0,402,2405,44475,5.99,65,1085,60567,49509,817,13205,96882,1853,15
Andaman & Nicobar,Nicobar,1,246,10280,363,2,0,154,451,7868,5.0,20,400,9633,8514,884,2946,15202,394,4
Andhra Pradesh,Krishna,760,10060,1110122,38866,742,742,5378,18559,411973,3.38,522,15438,707135,814739,1152,317501,1204594,12068,150
Andhra Pradesh,Guntur,384,5375,1065845,38627,444,444,5524,17574,367519,2.76,301,10899,693615,739599,1066,283779,1149585,15660,79
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",112,16372,829642,32227,0,0,10587,10738,215268,1.97,531,26959,466828,577909,1238,221548,823362,11314,123
Andhra Pradesh,Kurnool,329,13392,791414,31398,244,244,10880,12511,256963,2.38,578,24272,452271,595983,1318,206718,841659,14378,154
Andhra Pradesh,Visakhapatnam,1266,3644,1012762,36874,1205,1203,4640,21202,557768,3.81,316,8284,778242,792092,1018,288231,1282299,16900,83
Andhra Pradesh,Anantapur,38,20314,909523,35371,0,0,13019,12950,255204,1.73,577,33333,527542,636625,1207,249870,914857,12625,125
Andhra Pradesh,Chittoor,1574,2787,1001992,37312,628,626,4858,16477,334194,2.94,225,7645,606739,729272,1202,284696,1051490,13118,127
Andhra Pradesh,East Godavari,2068,23920,1114934,38050,888,182,28786,23821,468947,1.73,914,52706,702261,881436,1255,289864,1294017,20461,241
Andhra Pradesh,Prakasam,1418,5134,876889,34413,413,86,2590,9291,226394,3.31,256,7724,506093,597048,1180,224105,879178,11689,113
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,30200,852766,37448,0,0,10238,13694,258300,1.06,428,40482,516245,594600,1152,277241,833825,11536,97
Andhra Pradesh,Srikakulam,21,4270,738916,24911,0,0,2726,9229,204019,3.49,244,6996,406537,536316,1319,169156,773779,9974,61
Andhra Pradesh,Vizianagaram,2271,12146,578406,19628,0,0,11763,8213,204108,1.8,431,23909,344416,438003,1272,129339,653175,9364,102
Andhra Pradesh,West Godavari,185,5124,1044128,36837,0,0,417,10086,282396,3.05,169,5541,576253,750107,1302,235573,1090951,13269,135
Arunachal Pradesh,Itanagar Capital Complex,0,195,25265,797,0,0,633,1175,58039,3.86,32,828,47535,35758,752,8340,74964,781,8
Arunachal Pradesh,Lower Siang,0,31,4983,120,0,0,81,188,5667,7.14,8,112,5703,4947,867,1221,9429,134,2
Arunachal Pradesh,Pakke Kessang,0,0,4259,156,0,0,19,90,2547,5.26,1,19,3538,3265,923,1509,5297,30,1
Arunachal Pradesh,Changlang,399,91,23750,444,297,0,483,844,37083,2.79,16,574,34466,26362,765,4890,55943,589,7
Arunachal Pradesh,Kurung Kumey,0,48,3830,192,0,0,85,210,3934,12.78,17,133,3645,4017,1102,2004,5760,116,3
Arunachal Pradesh,Anjaw,0,7,4294,109,0,0,295,338,5446,5.96,18,302,5301,4438,837,1441,8299,241,5
Arunachal Pradesh,East Kameng,0,10,9871,209,0,0,32,383,7474,19.05,8,42,9186,8156,888,1914,15431,318,3
Arunachal Pradesh,Kamle,0,30,1997,54,59,0,151,77,1913,4.97,9,181,2236,1674,749,539,3371,54,3
Arunachal Pradesh,Dibang Valley,99,0,1375,55,0,0,4,134,2589,150.0,6,4,2370,1594,673,949,3015,54,1
Arunachal Pradesh,Tirap,0,136,8921,266,0,0,271,636,12697,3.19,13,407,12661,8953,707,2771,18847,507,4
Arunachal Pradesh,Kra Daadi,0,8,2393,80,0,0,60,161,2973,17.65,12,68,2858,2508,878,757,4609,133,2
Arunachal Pradesh,West Kameng,0,148,18578,717,1,0,616,984,23138,6.02,46,764,23273,18434,792,7243,34473,666,9
Arunachal Pradesh,Lohit,0,145,8444,230,0,0,415,630,12683,7.14,40,560,12010,9108,758,2312,18815,530,5
Arunachal Pradesh,Tawang,0,89,10911,434,1,0,255,548,17070,4.65,16,344,14924,13047,874,4622,23359,322,3
Arunachal Pradesh,Lower Dibang Valley,270,132,10585,353,0,0,303,564,14761,3.45,15,435,13857,11486,829,3052,22294,481,8
Arunachal Pradesh,Lower Subansiri,0,42,10501,436,0,0,199,468,11600,7.88,19,241,11429,10671,934,4193,17908,305,5
Arunachal Pradesh,Lepa Rada,0,12,5856,259,0,0,178,334,6856,0.0,0,190,6941,5769,831,2541,10171,230,3
Arunachal Pradesh,Upper Siang,0,0,8667,323,0,0,0,218,6692,0.0,0,0,8048,7310,908,2911,12448,125,0
Arunachal Pradesh,Shi Yomi,5,14,3274,155,10,0,60,195,3428,21.62,16,74,3320,3382,1019,1454,5248,143,3
Arunachal Pradesh,Namsai,0,180,20709,638,0,0,922,1888,26181,6.17,68,1102,25272,21615,855,4822,42068,1838,15
Arunachal Pradesh,Siang,2,165,6611,307,2,0,117,364,5379,6.38,18,282,6152,5837,949,2321,9669,340,4
Arunachal Pradesh,West Siang,0,166,14788,567,0,0,290,618,16647,3.07,14,456,16599,14832,894,5267,26168,432,4
Arunachal Pradesh,Papum Pare,0,58,10947,401,0,0,177,576,16635,6.38,15,235,16777,10800,644,4996,22586,262,4
Arunachal Pradesh,Longding,35,53,5983,149,123,0,240,233,6512,9.22,27,293,7996,4499,563,1757,10738,131,7
Arunachal Pradesh,Upper Subansiri,150,29,12679,398,134,0,100,156,6411,16.28,21,129,9916,9171,925,3195,15895,98,4
Arunachal Pradesh,East Siang,0,115,21910,1055,0,0,740,1219,27828,6.43,55,855,25380,24349,959,8683,41055,1034,12
Assam,Dibrugarh,0,1860,203477,6460,0,0,2193,5739,199759,1.65,67,4053,214113,189073,883,60291,342945,3586,21
Assam,Sivasagar,0,45,111642,4066,0,0,55,2749,73914,0.0,0,100,101060,84479,836,33273,152283,2061,1
Assam,Tinsukia,0,804,147592,3570,0,0,1362,3435,131833,1.57,34,2166,149772,129616,865,32130,247295,2415,8
Assam,Baksa,502,64,73918,2294,594,0,36,1904,55461,10.0,10,100,70860,58493,825,21612,107767,1110,7
Assam,Barpeta,3,5470,248335,14677,10,0,13367,5596,118745,2.25,423,18837,192670,174359,905,114237,252843,3953,114
Assam,Darrang,0,3197,107105,3699,0,0,6771,3273,78190,2.43,242,9968,101456,83816,826,30265,155030,2649,48
Assam,Kamrup Metropolitan,205,6120,391962,13732,96,96,10826,14172,526565,2.44,414,16946,518098,400269,773,140147,778380,7883,119
Assam,Kamrup Rural,235,2531,257739,7582,112,4,6081,4654,122098,2.88,248,8612,205453,174332,849,63147,316690,3215,69
Assam,Karbi-Anglong,13,1811,57201,2076,23,0,3569,2356,49764,3.53,190,5380,60693,46260,762,20582,86383,1492,50
Assam,Nalbari,0,1490,88541,2395,0,0,2288,2296,59509,3.23,122,3778,81716,66315,812,20757,127293,1726,30
Assam,Golaghat,0,860,122424,3873,0,0,2166,3623,85768,0.46,14,3026,114115,94051,824,34386,173806,2584,18
Assam,Jorhat,0,1907,149143,5023,0,0,3031,4176,101289,3.28,162,4938,135647,114747,846,47312,203120,2441,40
Assam,Morigaon,0,2448,105182,3388,33,0,4785,2653,62588,2.59,187,7233,85074,82679,972,25826,141944,2351,47
Assam,Nagaon,0,2734,213286,7023,10,0,4622,4890,165983,1.79,132,7358,195616,183601,939,60067,319202,3331,31
Assam,Bongaigaon,0,1757,93209,3752,0,0,3942,2989,77221,1.25,71,5699,89287,81122,909,31873,138557,2187,27
Assam,Chirang,0,956,48870,2023,1345,0,2401,2124,45307,2.47,83,3357,55053,39111,710,19507,74670,1360,20
Assam,Dhubri,0,2455,121844,4701,0,0,5577,4272,93055,1.1,88,8032,117516,97350,828,39613,175286,3314,50
Assam,Goalpara,0,649,84756,3001,45,0,1375,3003,81107,2.77,56,2024,87770,78020,889,27777,138086,2036,13
Assam,Kokrajhar,0,1440,74133,2441,86,0,3898,3482,72243,3.6,192,5338,84592,61765,730,23510,122866,2565,39
Assam,Dhemaji,0,1211,94081,2945,0,0,3677,2943,79878,2.09,102,4888,89130,84794,951,25857,148102,2194,25
Assam,Lakhimpur,0,1846,125594,4099,6,0,4653,3513,84614,1.55,101,6499,111325,98857,888,34617,175591,2667,47
Assam,Sonitpur,0,2497,202939,11385,5,0,7103,5776,166272,3.85,370,9600,192111,177053,922,94694,274517,3634,87
Assam,Udalguri,0,2208,69357,2194,0,0,5777,2745,62708,1.94,155,7985,71420,60623,849,19360,112705,2174,57
Assam,Cachar,0,1392,189292,5551,222,75,2121,4940,185564,3.62,127,3513,202892,171929,847,53546,321310,2842,27
Assam,Dima Hasao,0,828,31929,1417,106,0,1761,1606,36685,3.51,91,2589,40153,28442,708,12334,56280,1261,25
Assam,Hailakandi,0,808,80838,2703,200,0,1881,2573,68948,3.38,91,2689,82689,67081,811,24376,125410,1794,29
Assam,Karimganj,1,122,101552,3549,105,0,59,3275,82409,16.02,29,181,102608,81331,793,32625,151336,2163,14
Bihar,Madhepura,0,497,162062,3378,541,0,762,1334,95324,1.67,21,1259,138801,118523,854,30523,226863,352,6
Bihar,Saharsa,0,854,178106,4054,0,0,1866,1135,104480,4.04,110,2720,148048,134463,908,33806,248780,360,37
Bihar,Supaul,193,897,192908,3364,906,0,1331,2179,118445,2.33,52,2228,167615,143678,857,28235,283118,1509,14
Bihar,Purnia,0,1892,339943,7543,0,0,2707,4373,244059,3.94,181,4599,305946,277912,908,68428,515574,2140,56
Bihar,Araria,0,956,206199,6277,8013,0,2144,4130,128538,2.26,70,3100,178614,156050,874,39016,295721,4833,21
Bihar,Katihar,10,2905,189764,4748,1,0,6016,2906,167221,1.89,169,8921,188761,168176,891,41870,315115,1673,66
Bihar,Kishanganj,0,2731,115992,3283,0,0,5901,2401,94242,5.65,488,8632,116513,93691,804,28708,181526,1583,160
Bihar,Aurangabad,0,2505,174306,4346,3170,0,6044,3374,136512,1.42,121,8549,177433,133298,751,33906,276912,2876,36
Bihar,Arwal,0,0,53715,1689,0,0,0,741,37296,0.0,0,0,50157,40834,814,13837,77174,453,3
Bihar,Gaya,0,5852,375635,15929,1026,0,10169,11700,313880,1.74,279,16021,382857,306542,801,128373,561142,9290,84
Bihar,Kaimur,0,642,134690,3176,712,0,1503,2256,84083,2.1,45,2145,122318,96412,788,25136,193637,1841,12
Bihar,Rohtas,0,69,245747,5736,616,0,48,2059,164859,11.11,13,117,234939,175613,747,49496,361110,724,17
Bihar,Bhagalpur,0,1870,320645,9342,0,0,3419,6517,265735,0.78,41,5289,317316,268980,848,76951,509429,4866,27
