state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites
Andaman & Nicobar,North and Middle Andaman,209,56471,238,12,0,36,781,28333,22.45,55,245,44445,40348,908,27611,57193,795,10
Andaman & Nicobar,South Andaman,1195,109669,979,0,0,1472,816,60157,3.86,103,2667,91661,78143,853,52579,117247,897,24
Andaman & Nicobar,Nicobar,74,16012,95,1,0,128,189,12312,3.96,8,202,15307,13015,850,7689,20635,216,4
Andhra Pradesh,Krishna,54901,1361695,16797,2183,2183,39255,13263,597188,1.88,1768,94162,916109,1042470,1138,473494,1485389,23395,461
Andhra Pradesh,Guntur,59384,1359311,15759,643,643,37663,9481,561837,0.7,677,97083,900303,1020627,1134,451761,1469387,15099,182
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",27903,982297,6640,440,0,13991,3943,290785,1.33,556,41894,571130,701742,1229,322928,950154,5050,140
Andhra Pradesh,Kurnool,39655,993607,10497,519,483,20710,6305,394430,1.01,608,60402,593032,794836,1340,349318,1038719,7854,140
Andhra Pradesh,Visakhapatnam,47804,1227083,11918,2858,2828,59486,14350,789634,0.64,691,107309,983422,1033038,1050,463188,1553529,14232,164
Andhra Pradesh,Anantapur,70819,1196280,16964,38,38,39707,9633,386394,0.51,562,110688,715501,866458,1211,440847,1141827,14863,124
Andhra Pradesh,Chittoor,69994,1222024,14855,1107,1107,48239,12141,513170,0.64,756,118904,790865,944088,1194,454318,1280876,12076,153
Andhra Pradesh,East Godavari,145515,1489907,26274,402,0,46857,13097,651814,0.62,1188,192392,953966,1187504,1245,463314,1678407,32126,287
Andhra Pradesh,Prakasam,56682,1048203,9732,131,131,30451,8092,385314,0.49,424,87226,654876,778457,1189,360469,1073048,6336,113
Andhra Pradesh,Sri Potti Sriramulu Nellore,57518,1074664,11221,243,243,37492,7552,370224,0.46,442,96508,670816,773776,1153,444145,1000743,9897,103
Andhra Pradesh,Srikakulam,37338,918324,8576,15,0,14918,3860,264288,1.08,562,52268,513196,669305,1304,279328,903284,6430,123
Andhra Pradesh,Vizianagaram,5049,661376,2770,277,0,4834,2480,264930,2.8,277,9883,410202,515976,1258,184646,741660,3141,100
Andhra Pradesh,West Godavari,37824,1250659,7541,0,0,70731,12382,475397,0.47,514,108556,736908,988929,1342,321949,1404107,15501,138
Arunachal Pradesh,Itanagar Capital Complex,208,35640,321,0,0,625,796,76993,4.44,37,833,64513,48108,746,22546,90087,424,8
Arunachal Pradesh,Lower Siang,23,7563,64,1,0,23,76,9405,8.7,4,46,9156,7811,853,3241,13727,88,2
Arunachal Pradesh,Pakke Kessang,75,5349,44,20,0,101,51,4021,7.95,14,176,4927,4440,901,2577,6793,47,3
Arunachal Pradesh,Changlang,345,34073,405,250,0,460,577,50108,3.11,25,805,47803,36368,761,13439,70742,622,11
Arunachal Pradesh,Kurung Kumey,39,4904,25,0,0,70,57,5413,0.92,1,109,4938,5276,1068,2582,7735,64,4
Arunachal Pradesh,Anjaw,52,4910,40,0,0,22,47,7507,21.62,16,74,6806,5610,824,1995,10422,44,2
Arunachal Pradesh,East Kameng,105,12863,116,0,0,30,41,11195,11.11,15,135,12667,11388,899,4674,19384,40,2
Arunachal Pradesh,Kamle,62,2906,25,20,0,53,41,3593,13.04,15,115,3760,2739,728,1064,5435,47,4
Arunachal Pradesh,Dibang Valley,0,1526,2,198,0,0,6,3130,0.0,0,0,2891,1765,611,1089,3567,4,1
Arunachal Pradesh,Tirap,163,12090,95,0,0,103,112,20298,9.02,24,266,18738,13644,728,4556,27832,114,6
Arunachal Pradesh,Kra Daadi,13,2990,26,0,0,7,26,3659,0.0,0,20,3510,3139,894,1304,5345,28,2
Arunachal Pradesh,West Kameng,167,24161,141,2,0,233,347,33967,5.0,20,400,32372,25741,795,11834,46294,356,8
Arunachal Pradesh,Lohit,166,11993,137,0,0,294,158,19302,6.52,30,460,17587,13698,779,5291,26004,172,7
Arunachal Pradesh,Tawang,58,13799,83,0,0,7,59,19543,7.69,5,65,17980,15350,854,7515,25827,59,1
Arunachal Pradesh,Lower Dibang Valley,142,14633,107,493,0,140,173,20598,6.38,18,282,19366,15861,819,7148,28083,166,8
Arunachal Pradesh,Lower Subansiri,131,13364,123,0,0,141,164,16879,6.62,18,272,16135,14106,874,6688,23555,166,6
Arunachal Pradesh,Lepa Rada,39,7667,45,0,0,42,32,9118,11.11,9,81,9412,7370,783,4326,12459,31,2
