state,district,today,Total doses til date,avgdaily,slots,paid slot,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage,doses,male,female,gratio,fully,people,avg people,sites,avgf
Andaman & Nicobar,North and Middle Andaman,100,57675,104,7,0,10,231,34241,27.27,30,110,48011,43893,914,28549,63367,260,10,75
Andaman & Nicobar,South Andaman,268,116076,640,0,0,518,754,69199,11.96,94,786,99640,85609,859,57031,128244,1009,18,384
Andaman & Nicobar,Nicobar,15,16753,57,0,0,20,45,13070,42.86,15,35,16089,13732,854,7977,21846,85,2,16
Andhra Pradesh,Krishna,10251,1471433,13945,1707,1707,13577,10138,672928,5.72,1362,23828,1005566,1138466,1132,525164,1619197,18700,378,5382
Andhra Pradesh,Guntur,6934,1476776,11460,1022,1021,8042,9177,652657,3.3,494,14976,991474,1137699,1147,522402,1607031,14114,134,6523
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",2380,1056524,7029,103,0,2072,4710,333780,6.69,298,4452,626555,763522,1219,378547,1011757,7033,126,4705
Andhra Pradesh,Kurnool,5328,1107504,10712,467,454,2554,4828,444902,4.54,358,7882,665865,886351,1331,433419,1118987,7508,97,8031
Andhra Pradesh,Visakhapatnam,16837,1307262,9263,2810,2724,5492,6711,857034,2.66,595,22355,1055529,1108487,1050,534317,1629979,7797,151,8177
Andhra Pradesh,Anantapur,4226,1291780,11854,139,139,2734,4968,431429,4.6,320,6960,781974,940479,1203,508552,1214657,9193,122,7628
Andhra Pradesh,Chittoor,4517,1379731,21252,921,921,5951,12304,607822,3.16,331,10469,906833,1080440,1191,609892,1377661,12788,146,20767
Andhra Pradesh,East Godavari,5525,1625429,16442,2086,0,4479,3517,684271,4.26,426,10004,1039588,1269837,1221,528495,1781205,13682,132,6276
Andhra Pradesh,Prakasam,5277,1148598,9394,0,0,4597,6386,443778,4.42,436,9874,728509,863659,1186,453461,1138915,7720,142,8060
Andhra Pradesh,Sri Potti Sriramulu Nellore,12233,1159359,8316,9,0,13922,9034,443651,1.45,379,26161,744610,858076,1152,505322,1097688,12551,96,4799
Andhra Pradesh,Srikakulam,4471,1021983,13727,178,177,1831,4363,300022,7.27,458,6302,569967,751917,1319,322322,999683,12880,111,5209
Andhra Pradesh,Vizianagaram,2016,692153,2433,527,0,3063,3157,301825,5.34,271,5079,441061,552784,1253,201269,792709,4464,82,1125
Andhra Pradesh,West Godavari,8499,1359599,11515,0,0,11454,8948,550104,2.69,537,19953,825700,1083752,1313,409972,1499731,11989,266,8474
Arunachal Pradesh,Itanagar Capital Complex,88,36946,118,0,0,307,359,81412,11.39,45,395,67751,50595,747,25513,92845,257,8,219
Arunachal Pradesh,Lower Siang,82,8649,82,4,0,136,103,10248,5.5,12,218,10174,8722,857,4174,14723,127,2,58
Arunachal Pradesh,Pakke Kessang,13,5562,20,40,0,13,48,4484,15.38,4,26,5314,4728,890,2777,7269,49,4,19
Arunachal Pradesh,Changlang,130,36079,175,569,0,330,290,53216,6.52,30,460,50709,38576,761,15180,74115,319,11,145
Arunachal Pradesh,Kurung Kumey,32,5146,26,10,0,75,42,5940,12.15,13,107,5323,5660,1063,2759,8327,50,3,19
